attempt_id,actor_person_id,actor_role,resource_type,resource_id,sensitivity_level,timestamp,result,ip_address
ACC-0001,P-0014,Researcher,Dataset,DS-0027,low,2026-05-12T20:18:00,granted,192.168.1.47
ACC-0002,P-0009,Researcher,Dataset,DS-0003,medium,2026-05-23T17:47:00,granted,192.168.1.48
ACC-0003,P-0025,Researcher,Dataset,DS-0017,medium,2026-05-02T18:30:00,granted,192.168.1.84
ACC-0004,P-0009,Researcher,Dataset,DS-0037,high,2026-05-02T18:18:00,granted,192.168.1.89
ACC-0005,P-0004,Researcher,Dataset,DS-0019,low,2026-05-16T09:08:00,granted,192.168.1.74
ACC-0006,P-0006,Researcher,Dataset,DS-0018,medium,2026-05-09T10:39:00,granted,192.168.1.45
ACC-0007,P-0012,Researcher,Dataset,DS-0017,medium,2026-05-01T19:07:00,granted,192.168.1.87
ACC-0008,P-0009,Researcher,Dataset,DS-0038,medium,2026-05-24T10:42:00,granted,192.168.1.67
ACC-0009,P-0015,Researcher,Dataset,DS-0012,low,2026-05-09T20:44:00,granted,192.168.1.40
ACC-0010,P-0020,Researcher,Dataset,DS-0012,low,2026-05-26T16:55:00,granted,192.168.1.14
ACC-0011,P-0014,Researcher,Dataset,DS-0006,medium,2026-05-31T10:38:00,granted,192.168.1.29
ACC-0012,P-0020,Researcher,Dataset,DS-0049,high,2026-05-14T20:24:00,granted,192.168.1.40
ACC-0013,P-0019,Researcher,Dataset,DS-0047,low,2026-05-21T10:13:00,granted,192.168.1.83
ACC-0014,P-0015,Researcher,Dataset,DS-0004,medium,2026-05-21T12:48:00,granted,192.168.1.24
ACC-0015,P-0005,Researcher,Dataset,DS-0011,medium,2026-05-15T14:30:00,granted,192.168.1.48
ACC-0016,P-0020,Researcher,Dataset,DS-0048,high,2026-05-31T20:59:00,granted,192.168.1.78
ACC-0017,P-0011,Researcher,Dataset,DS-0025,low,2026-05-22T19:24:00,granted,192.168.1.70
ACC-0018,P-0012,Researcher,Dataset,DS-0010,medium,2026-05-17T14:00:00,granted,192.168.1.46
ACC-0019,P-0019,Researcher,Dataset,DS-0025,low,2026-05-22T13:33:00,granted,192.168.1.97
ACC-0020,P-0005,Researcher,Dataset,DS-0007,high,2026-05-30T16:40:00,granted,192.168.1.55
ACC-0021,P-0017,Researcher,Dataset,DS-0040,medium,2026-05-30T18:54:00,granted,192.168.1.44
