anomaly_id,project_id,dataset_id,model_id,experiment_id,timestamp,anomaly_type,severity,anomaly_score,detected_by,confirmed,resolution
ANOM-0001,PJ-0008,DS-0033,MDL-0040,EXP-0021,2026-04-27T05:00:00,trend_shift,medium,0.502,threshold_rule,True,acknowledged
ANOM-0002,PJ-0008,DS-0016,MDL-0023,EXP-0106,2026-06-09T16:00:00,level_shift,medium,0.664,threshold_rule,True,pending
ANOM-0003,PJ-0008,DS-0016,MDL-0031,EXP-0064,2026-05-04T13:00:00,point_anomaly,high,0.563,threshold_rule,False,false_positive
ANOM-0004,PJ-0008,DS-0033,MDL-0023,EXP-0047,2026-04-14T12:00:00,trend_shift,medium,0.549,IsolationForest,True,pending
ANOM-0005,PJ-0008,DS-0037,MDL-0023,EXP-0106,2026-05-18T04:00:00,contextual_anomaly,medium,0.6,LSTM_model,True,acknowledged
ANOM-0006,PJ-0008,DS-0037,MDL-0031,EXP-0015,2026-04-03T08:00:00,level_shift,low,0.78,LSTM_model,False,false_positive
ANOM-0007,PJ-0008,DS-0033,MDL-0040,EXP-0064,2026-06-06T08:00:00,collective_anomaly,medium,0.617,IsolationForest,True,false_positive
ANOM-0008,PJ-0008,DS-0037,MDL-0027,EXP-0082,2026-04-23T05:00:00,seasonal_deviation,low,0.635,IsolationForest,True,acknowledged
ANOM-0009,PJ-0008,DS-0016,MDL-0027,EXP-0050,2026-04-11T11:00:00,point_anomaly,medium,0.638,IsolationForest,True,pending
ANOM-0010,PJ-0008,DS-0033,MDL-0004,EXP-0039,2026-04-09T14:00:00,trend_shift,low,0.703,threshold_rule,False,acknowledged
ANOM-0011,PJ-0008,DS-0016,MDL-0040,EXP-0039,2026-05-03T00:00:00,collective_anomaly,high,0.896,IsolationForest,True,false_positive
ANOM-0012,PJ-0008,DS-0037,MDL-0031,EXP-0064,2026-05-22T18:00:00,point_anomaly,low,0.978,NormalizingFlow,True,acknowledged
ANOM-0013,PJ-0008,DS-0016,MDL-0031,EXP-0069,2026-04-22T17:00:00,point_anomaly,medium,0.797,LSTM_model,True,false_positive
ANOM-0014,PJ-0008,DS-0016,MDL-0023,EXP-0004,2026-06-16T16:00:00,contextual_anomaly,low,0.66,IsolationForest,True,false_positive
ANOM-0015,PJ-0008,DS-0033,MDL-0023,EXP-0041,2026-04-18T00:00:00,point_anomaly,medium,0.847,NormalizingFlow,True,pending
ANOM-0016,PJ-0008,DS-0033,MDL-0031,EXP-0039,2026-06-18T16:00:00,contextual_anomaly,medium,0.585,NormalizingFlow,False,acknowledged
ANOM-0017,PJ-0008,DS-0037,MDL-0031,EXP-0021,2026-04-15T03:00:00,contextual_anomaly,high,0.712,threshold_rule,True,root_cause_found
ANOM-0018,PJ-0008,DS-0033,MDL-0031,EXP-0004,2026-05-22T19:00:00,trend_shift,high,0.598,NormalizingFlow,True,acknowledged
ANOM-0019,PJ-0008,DS-0033,MDL-0004,EXP-0003,2026-06-21T18:00:00,level_shift,medium,0.788,NormalizingFlow,True,root_cause_found
ANOM-0020,PJ-0008,DS-0033,MDL-0003,EXP-0004,2026-04-16T08:00:00,collective_anomaly,high,0.888,NormalizingFlow,True,false_positive
ANOM-0021,PJ-0008,DS-0037,MDL-0023,EXP-0030,2026-04-13T09:00:00,collective_anomaly,low,0.505,LSTM_model,False,false_positive
ANOM-0022,PJ-0008,DS-0033,MDL-0031,EXP-0082,2026-04-28T10:00:00,contextual_anomaly,low,0.689,IsolationForest,True,acknowledged
ANOM-0023,PJ-0008,DS-0037,MDL-0023,EXP-0069,2026-05-22T20:00:00,seasonal_deviation,low,0.781,threshold_rule,True,pending
ANOM-0024,PJ-0008,DS-0033,MDL-0023,EXP-0020,2026-04-17T19:00:00,point_anomaly,high,0.744,NormalizingFlow,True,acknowledged
ANOM-0025,PJ-0008,DS-0033,MDL-0004,EXP-0050,2026-04-28T21:00:00,level_shift,high,0.616,LSTM_model,True,acknowledged
ANOM-0026,PJ-0008,DS-0033,MDL-0023,EXP-0015,2026-06-11T19:00:00,trend_shift,low,0.939,LSTM_model,True,acknowledged
ANOM-0027,PJ-0008,DS-0016,MDL-0027,EXP-0004,2026-06-10T19:00:00,trend_shift,medium,0.635,NormalizingFlow,True,root_cause_found
ANOM-0028,PJ-0008,DS-0033,MDL-0031,EXP-0003,2026-05-04T13:00:00,collective_anomaly,high,0.742,LSTM_model,False,acknowledged
ANOM-0029,PJ-0008,DS-0016,MDL-0004,EXP-0003,2026-06-10T10:00:00,point_anomaly,medium,0.552,NormalizingFlow,False,pending
ANOM-0030,PJ-0008,DS-0016,MDL-0004,EXP-0004,2026-04-17T07:00:00,seasonal_deviation,medium,0.9,LSTM_model,False,acknowledged
ANOM-0031,PJ-0008,DS-0033,MDL-0003,EXP-0004,2026-04-05T02:00:00,collective_anomaly,low,0.629,threshold_rule,True,false_positive
ANOM-0032,PJ-0008,DS-0016,MDL-0031,EXP-0041,2026-04-11T05:00:00,contextual_anomaly,medium,0.922,threshold_rule,True,acknowledged
ANOM-0033,PJ-0008,DS-0037,MDL-0031,EXP-0020,2026-05-20T07:00:00,trend_shift,high,0.978,NormalizingFlow,False,pending
ANOM-0034,PJ-0008,DS-0016,MDL-0003,EXP-0021,2026-06-05T09:00:00,collective_anomaly,low,0.673,IsolationForest,True,false_positive
ANOM-0035,PJ-0008,DS-0037,MDL-0003,EXP-0004,2026-06-22T22:00:00,trend_shift,low,0.604,IsolationForest,True,pending
