approval_id,entity_type,entity_id,action,actor_person_id,actor_role,decision,decision_reason,timestamp
APR-0001,PurchaseRequest,PR-0001,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-05-28T00:00:00
APR-0002,PurchaseRequest,PR-0001,ProfessorApproval,P-0001,Professor,rejected,Budget check: ok,2026-05-30T00:00:00
APR-0003,PurchaseRequest,PR-0002,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-06-28T00:00:00
APR-0004,PurchaseRequest,PR-0002,ProfessorApproval,P-0001,Professor,approved,Budget check: ok,2026-06-30T00:00:00
APR-0005,PurchaseRequest,PR-0003,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-04-28T00:00:00
APR-0006,PurchaseRequest,PR-0003,ProfessorApproval,P-0001,Professor,pending,Budget check: ok,2026-04-30T00:00:00
APR-0007,PurchaseRequest,PR-0004,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-05-24T00:00:00
APR-0008,PurchaseRequest,PR-0004,ProfessorApproval,P-0001,Professor,rejected,Budget check: over_budget,2026-05-26T00:00:00
APR-0009,PurchaseRequest,PR-0005,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-07-04T00:00:00
APR-0010,PurchaseRequest,PR-0005,ProfessorApproval,P-0001,Professor,pending,Budget check: ok,2026-07-06T00:00:00
APR-0011,PurchaseRequest,PR-0006,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-09-10T00:00:00
APR-0012,PurchaseRequest,PR-0006,ProfessorApproval,P-0001,Professor,rejected,Budget check: ok,2026-09-12T00:00:00
APR-0013,PurchaseRequest,PR-0007,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-04-03T00:00:00
APR-0014,PurchaseRequest,PR-0007,ProfessorApproval,P-0001,Professor,pending,Budget check: ok,2026-04-05T00:00:00
APR-0015,PurchaseRequest,PR-0008,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-04-05T00:00:00
APR-0016,PurchaseRequest,PR-0008,ProfessorApproval,P-0001,Professor,rejected,Budget check: ok,2026-04-07T00:00:00
APR-0017,PurchaseRequest,PR-0009,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-04-21T00:00:00
APR-0018,PurchaseRequest,PR-0009,ProfessorApproval,P-0001,Professor,rejected,Budget check: ok,2026-04-23T00:00:00
APR-0019,PurchaseRequest,PR-0011,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-09-06T00:00:00
APR-0020,PurchaseRequest,PR-0011,ProfessorApproval,P-0001,Professor,pending,Budget check: ok,2026-09-08T00:00:00
APR-0021,PurchaseRequest,PR-0012,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-05-28T00:00:00
APR-0022,PurchaseRequest,PR-0012,ProfessorApproval,P-0001,Professor,rejected,Budget check: ok,2026-05-30T00:00:00
APR-0023,PurchaseRequest,PR-0013,AdminReview,P-0002,Admin,forwarded,"Amount ≥ ₩1,000,000 — requires professor sign-off",2026-07-01T00:00:00
