log_id,project_id,equipment_id,timestamp,cell_voltage_v,temperature_c,gas_concentration_ppm,fire_risk_flag,anomaly_flag,sensor_id
BESS-0001,PJ-0001,EQ-0020,2026-04-01T02:00:00,3.105,63.2,362.1,True,True,BESS-SENSOR-03
BESS-0002,PJ-0001,EQ-0003,2026-04-01T04:00:00,3.835,30.8,367.2,True,True,BESS-SENSOR-04
BESS-0003,PJ-0001,EQ-0003,2026-04-01T06:00:00,3.78,32.0,291.9,False,False,BESS-SENSOR-04
BESS-0004,PJ-0001,EQ-0003,2026-04-01T08:00:00,3.569,38.2,208.5,False,True,BESS-SENSOR-03
BESS-0005,PJ-0001,EQ-0006,2026-04-01T10:00:00,3.582,67.5,200.4,True,True,BESS-SENSOR-01
BESS-0006,PJ-0001,EQ-0014,2026-04-01T12:00:00,3.683,57.2,90.6,False,False,BESS-SENSOR-01
BESS-0007,PJ-0001,EQ-0011,2026-04-01T14:00:00,3.856,18.5,283.7,False,False,BESS-SENSOR-08
BESS-0008,PJ-0001,EQ-0020,2026-04-01T16:00:00,4.199,56.8,329.0,True,True,BESS-SENSOR-01
BESS-0009,PJ-0001,EQ-0014,2026-04-01T18:00:00,3.87,44.8,231.0,False,False,BESS-SENSOR-08
BESS-0010,PJ-0001,EQ-0006,2026-04-01T20:00:00,3.506,65.9,237.7,True,True,BESS-SENSOR-06
BESS-0011,PJ-0001,EQ-0016,2026-04-01T22:00:00,3.501,22.3,401.8,True,True,BESS-SENSOR-08
BESS-0012,PJ-0001,EQ-0003,2026-04-02T00:00:00,3.416,51.2,422.5,True,True,BESS-SENSOR-07
BESS-0013,PJ-0001,EQ-0003,2026-04-02T02:00:00,3.563,28.8,326.8,True,True,BESS-SENSOR-08
BESS-0014,PJ-0001,EQ-0006,2026-04-02T04:00:00,3.822,52.0,264.4,False,False,BESS-SENSOR-08
BESS-0015,PJ-0001,EQ-0006,2026-04-02T06:00:00,3.468,77.2,325.3,True,True,BESS-SENSOR-07
BESS-0016,PJ-0001,EQ-0020,2026-04-02T08:00:00,3.567,61.7,162.1,False,False,BESS-SENSOR-03
BESS-0017,PJ-0001,EQ-0016,2026-04-02T10:00:00,3.103,31.9,310.8,True,True,BESS-SENSOR-08
BESS-0018,PJ-0001,EQ-0006,2026-04-02T12:00:00,3.591,29.6,70.3,False,False,BESS-SENSOR-08
BESS-0019,PJ-0001,EQ-0011,2026-04-02T14:00:00,4.199,33.7,250.6,False,False,BESS-SENSOR-05
BESS-0020,PJ-0001,EQ-0011,2026-04-02T16:00:00,4.031,63.4,78.6,False,False,BESS-SENSOR-02
BESS-0021,PJ-0001,EQ-0011,2026-04-02T18:00:00,3.145,46.9,277.9,False,False,BESS-SENSOR-05
BESS-0022,PJ-0001,EQ-0011,2026-04-02T20:00:00,3.924,70.6,346.2,True,True,BESS-SENSOR-05
BESS-0023,PJ-0001,EQ-0006,2026-04-02T22:00:00,3.725,75.2,393.2,True,True,BESS-SENSOR-02
BESS-0024,PJ-0001,EQ-0020,2026-04-03T00:00:00,3.959,21.4,425.8,True,True,BESS-SENSOR-02
BESS-0025,PJ-0001,EQ-0003,2026-04-03T02:00:00,4.03,70.4,274.3,True,True,BESS-SENSOR-02
BESS-0026,PJ-0001,EQ-0016,2026-04-03T04:00:00,3.756,20.8,47.4,False,False,BESS-SENSOR-06
BESS-0027,PJ-0001,EQ-0006,2026-04-03T06:00:00,3.914,66.8,318.7,True,True,BESS-SENSOR-08
BESS-0028,PJ-0001,EQ-0020,2026-04-03T08:00:00,3.436,76.3,69.4,True,True,BESS-SENSOR-03
BESS-0029,PJ-0001,EQ-0003,2026-04-03T10:00:00,3.499,74.9,197.6,True,True,BESS-SENSOR-01
BESS-0030,PJ-0001,EQ-0006,2026-04-03T12:00:00,3.344,73.9,213.1,True,True,BESS-SENSOR-03
BESS-0031,PJ-0001,EQ-0003,2026-04-03T14:00:00,3.498,35.8,321.8,True,True,BESS-SENSOR-04
BESS-0032,PJ-0001,EQ-0006,2026-04-03T16:00:00,3.945,68.5,238.3,True,True,BESS-SENSOR-03
BESS-0033,PJ-0001,EQ-0014,2026-04-03T18:00:00,3.551,45.7,184.2,False,False,BESS-SENSOR-06
BESS-0034,PJ-0001,EQ-0003,2026-04-03T20:00:00,3.861,47.7,346.6,True,True,BESS-SENSOR-02
BESS-0035,PJ-0001,EQ-0003,2026-04-03T22:00:00,3.927,40.7,180.7,False,False,BESS-SENSOR-07
BESS-0036,PJ-0001,EQ-0003,2026-04-04T00:00:00,4.083,62.2,288.7,False,False,BESS-SENSOR-05
BESS-0037,PJ-0001,EQ-0014,2026-04-04T02:00:00,3.664,44.9,306.4,True,True,BESS-SENSOR-05
BESS-0038,PJ-0001,EQ-0020,2026-04-04T04:00:00,3.009,67.8,409.2,True,True,BESS-SENSOR-05
BESS-0039,PJ-0001,EQ-0016,2026-04-04T06:00:00,3.485,58.9,66.1,False,False,BESS-SENSOR-08
BESS-0040,PJ-0001,EQ-0020,2026-04-04T08:00:00,3.779,41.1,365.3,True,True,BESS-SENSOR-04
BESS-0041,PJ-0001,EQ-0011,2026-04-04T10:00:00,3.468,23.6,241.8,False,False,BESS-SENSOR-03
BESS-0042,PJ-0001,EQ-0016,2026-04-04T12:00:00,3.111,84.5,127.8,True,True,BESS-SENSOR-05
BESS-0043,PJ-0001,EQ-0016,2026-04-04T14:00:00,3.028,40.8,286.1,False,False,BESS-SENSOR-05
BESS-0044,PJ-0001,EQ-0006,2026-04-04T16:00:00,3.507,73.8,136.8,True,True,BESS-SENSOR-02
BESS-0045,PJ-0001,EQ-0020,2026-04-04T18:00:00,3.752,22.0,167.8,False,False,BESS-SENSOR-01
BESS-0046,PJ-0001,EQ-0020,2026-04-04T20:00:00,3.687,81.1,201.9,True,True,BESS-SENSOR-01
BESS-0047,PJ-0001,EQ-0014,2026-04-04T22:00:00,3.895,40.7,106.2,False,False,BESS-SENSOR-04
BESS-0048,PJ-0001,EQ-0011,2026-04-05T00:00:00,3.978,38.0,300.1,True,True,BESS-SENSOR-03
BESS-0049,PJ-0001,EQ-0020,2026-04-05T02:00:00,3.126,43.3,331.9,True,True,BESS-SENSOR-04
BESS-0050,PJ-0001,EQ-0011,2026-04-05T04:00:00,3.511,48.4,65.9,False,False,BESS-SENSOR-02
BESS-0051,PJ-0001,EQ-0003,2026-04-05T06:00:00,3.258,46.5,58.5,False,False,BESS-SENSOR-07
BESS-0052,PJ-0001,EQ-0016,2026-04-05T08:00:00,4.046,55.5,350.5,True,True,BESS-SENSOR-08
BESS-0053,PJ-0001,EQ-0020,2026-04-05T10:00:00,4.117,46.4,198.0,False,False,BESS-SENSOR-07
BESS-0054,PJ-0001,EQ-0006,2026-04-05T12:00:00,3.853,27.7,57.2,False,False,BESS-SENSOR-02
BESS-0055,PJ-0001,EQ-0020,2026-04-05T14:00:00,3.896,32.2,213.0,False,False,BESS-SENSOR-06
BESS-0056,PJ-0001,EQ-0003,2026-04-05T16:00:00,3.145,58.3,183.9,False,False,BESS-SENSOR-01
BESS-0057,PJ-0001,EQ-0016,2026-04-05T18:00:00,4.189,28.3,167.2,False,False,BESS-SENSOR-08
BESS-0058,PJ-0001,EQ-0003,2026-04-05T20:00:00,3.708,71.0,64.0,True,True,BESS-SENSOR-01
BESS-0059,PJ-0001,EQ-0011,2026-04-05T22:00:00,3.983,77.6,97.0,True,True,BESS-SENSOR-08
BESS-0060,PJ-0001,EQ-0003,2026-04-06T00:00:00,4.045,26.2,156.9,False,False,BESS-SENSOR-05
BESS-0061,PJ-0001,EQ-0016,2026-04-06T02:00:00,3.453,48.3,152.0,False,False,BESS-SENSOR-03
BESS-0062,PJ-0001,EQ-0006,2026-04-06T04:00:00,3.54,51.8,207.4,False,False,BESS-SENSOR-06
BESS-0063,PJ-0001,EQ-0003,2026-04-06T06:00:00,3.492,71.6,299.0,True,True,BESS-SENSOR-04
BESS-0064,PJ-0001,EQ-0014,2026-04-06T08:00:00,3.805,40.7,20.6,False,False,BESS-SENSOR-05
BESS-0065,PJ-0001,EQ-0020,2026-04-06T10:00:00,3.03,23.9,74.5,False,False,BESS-SENSOR-05
BESS-0066,PJ-0001,EQ-0016,2026-04-06T12:00:00,3.102,61.2,289.8,False,False,BESS-SENSOR-01
BESS-0067,PJ-0001,EQ-0016,2026-04-06T14:00:00,3.603,53.0,337.8,True,True,BESS-SENSOR-01
BESS-0068,PJ-0001,EQ-0003,2026-04-06T16:00:00,4.155,62.1,239.3,False,False,BESS-SENSOR-04
BESS-0069,PJ-0001,EQ-0006,2026-04-06T18:00:00,3.695,73.6,377.5,True,True,BESS-SENSOR-02
BESS-0070,PJ-0001,EQ-0016,2026-04-06T20:00:00,3.054,58.7,180.8,False,False,BESS-SENSOR-01
BESS-0071,PJ-0001,EQ-0011,2026-04-06T22:00:00,4.032,47.3,186.7,False,False,BESS-SENSOR-05
BESS-0072,PJ-0001,EQ-0003,2026-04-07T00:00:00,3.202,25.7,44.7,False,False,BESS-SENSOR-05
BESS-0073,PJ-0001,EQ-0003,2026-04-07T02:00:00,3.814,28.3,428.5,True,True,BESS-SENSOR-01
BESS-0074,PJ-0001,EQ-0016,2026-04-07T04:00:00,3.856,82.4,81.7,True,True,BESS-SENSOR-05
BESS-0075,PJ-0001,EQ-0014,2026-04-07T06:00:00,4.072,24.6,64.1,False,False,BESS-SENSOR-02
BESS-0076,PJ-0001,EQ-0003,2026-04-07T08:00:00,3.703,31.6,338.5,True,True,BESS-SENSOR-08
BESS-0077,PJ-0001,EQ-0016,2026-04-07T10:00:00,3.138,68.4,173.3,True,True,BESS-SENSOR-01
BESS-0078,PJ-0001,EQ-0011,2026-04-07T12:00:00,3.581,49.1,183.2,False,False,BESS-SENSOR-04
BESS-0079,PJ-0001,EQ-0003,2026-04-07T14:00:00,3.81,36.0,433.6,True,True,BESS-SENSOR-04
BESS-0080,PJ-0001,EQ-0016,2026-04-07T16:00:00,3.682,61.7,56.5,False,False,BESS-SENSOR-04
BESS-0081,PJ-0001,EQ-0006,2026-04-07T18:00:00,3.938,43.0,443.4,True,True,BESS-SENSOR-07
BESS-0082,PJ-0001,EQ-0016,2026-04-07T20:00:00,3.558,48.3,0.5,False,False,BESS-SENSOR-05
BESS-0083,PJ-0001,EQ-0020,2026-04-07T22:00:00,4.12,83.1,0.2,True,True,BESS-SENSOR-08
BESS-0084,PJ-0001,EQ-0011,2026-04-08T00:00:00,3.456,58.1,377.8,True,True,BESS-SENSOR-06
BESS-0085,PJ-0001,EQ-0020,2026-04-08T02:00:00,3.338,32.3,378.3,True,True,BESS-SENSOR-03
BESS-0086,PJ-0001,EQ-0020,2026-04-08T04:00:00,3.108,53.8,31.5,False,False,BESS-SENSOR-03
BESS-0087,PJ-0001,EQ-0020,2026-04-08T06:00:00,3.518,55.3,125.8,False,False,BESS-SENSOR-06
BESS-0088,PJ-0001,EQ-0020,2026-04-08T08:00:00,4.176,81.3,285.8,True,True,BESS-SENSOR-08
BESS-0089,PJ-0001,EQ-0011,2026-04-08T10:00:00,3.41,34.5,442.4,True,True,BESS-SENSOR-08
BESS-0090,PJ-0001,EQ-0016,2026-04-08T12:00:00,3.16,40.0,411.3,True,True,BESS-SENSOR-01
BESS-0091,PJ-0001,EQ-0016,2026-04-08T14:00:00,3.807,49.9,405.7,True,True,BESS-SENSOR-07
BESS-0092,PJ-0001,EQ-0016,2026-04-08T16:00:00,3.915,78.0,316.5,True,True,BESS-SENSOR-02
