reservation_id,equipment_id,experiment_id,reserved_by_person_id,start_time,end_time,status
RSV-0001,EQ-0018,EXP-0072,P-0020,2026-07-17T14:00:00,2026-07-17T16:00:00,confirmed
RSV-0002,EQ-0003,EXP-0046,P-0004,2026-07-18T09:00:00,2026-07-18T13:00:00,confirmed
RSV-0003,EQ-0001,EXP-0038,P-0023,2026-07-14T14:00:00,2026-07-14T16:00:00,pending
RSV-0004,EQ-0018,EXP-0116,P-0006,2026-07-08T10:00:00,2026-07-08T16:00:00,confirmed
RSV-0005,EQ-0005,EXP-0035,P-0011,2026-07-10T13:00:00,2026-07-10T19:00:00,confirmed
RSV-0006,EQ-0003,EXP-0022,P-0011,2026-07-14T13:00:00,2026-07-14T19:00:00,confirmed
RSV-0007,EQ-0016,EXP-0101,P-0023,2026-07-03T13:00:00,2026-07-03T17:00:00,confirmed
RSV-0008,EQ-0016,EXP-0077,P-0022,2026-07-20T10:00:00,2026-07-20T16:00:00,confirmed
RSV-0009,EQ-0005,EXP-0039,P-0006,2026-07-01T14:00:00,2026-07-01T18:00:00,pending
RSV-0010,EQ-0013,EXP-0103,P-0013,2026-07-11T14:00:00,2026-07-11T18:00:00,confirmed
RSV-0011,EQ-0020,EXP-0018,P-0025,2026-07-10T13:00:00,2026-07-10T16:00:00,confirmed
RSV-0012,EQ-0011,EXP-0023,P-0005,2026-07-13T13:00:00,2026-07-13T17:00:00,pending
RSV-0013,EQ-0016,EXP-0074,P-0020,2026-07-08T13:00:00,2026-07-08T19:00:00,confirmed
RSV-0014,EQ-0013,EXP-0047,P-0008,2026-07-04T10:00:00,2026-07-04T13:00:00,pending
RSV-0015,EQ-0018,EXP-0004,P-0008,2026-07-15T10:00:00,2026-07-15T16:00:00,confirmed
RSV-0016,EQ-0003,EXP-0105,P-0016,2026-07-14T14:00:00,2026-07-14T17:00:00,pending
RSV-0017,EQ-0010,EXP-0031,P-0022,2026-07-09T10:00:00,2026-07-09T16:00:00,confirmed
RSV-0018,EQ-0003,EXP-0058,P-0013,2026-07-20T14:00:00,2026-07-20T20:00:00,pending
RSV-0019,EQ-0017,EXP-0119,P-0008,2026-07-14T09:00:00,2026-07-14T13:00:00,pending
RSV-0020,EQ-0018,EXP-0077,P-0022,2026-07-03T09:00:00,2026-07-03T12:00:00,pending
RSV-0021,EQ-0012,EXP-0022,P-0011,2026-07-20T09:00:00,2026-07-20T15:00:00,confirmed
RSV-0022,EQ-0014,EXP-0014,P-0014,2026-07-01T09:00:00,2026-07-01T13:00:00,confirmed
RSV-0023,EQ-0017,EXP-0096,P-0014,2026-07-17T10:00:00,2026-07-17T16:00:00,confirmed
RSV-0024,EQ-0013,EXP-0060,P-0023,2026-07-19T10:00:00,2026-07-19T14:00:00,confirmed
RSV-0025,EQ-0016,EXP-0014,P-0014,2026-07-10T14:00:00,2026-07-10T16:00:00,confirmed
RSV-0026,EQ-0005,EXP-0045,P-0015,2026-07-10T13:00:00,2026-07-10T19:00:00,confirmed
RSV-0027,EQ-0017,EXP-0062,P-0020,2026-07-12T14:00:00,2026-07-12T16:00:00,confirmed
RSV-0028,EQ-0015,EXP-0041,P-0010,2026-07-03T13:00:00,2026-07-03T15:00:00,pending
RSV-0029,EQ-0004,EXP-0003,P-0017,2026-07-11T09:00:00,2026-07-11T12:00:00,pending
RSV-0030,EQ-0008,EXP-0067,P-0014,2026-07-06T10:00:00,2026-07-06T14:00:00,pending
RSV-0031,EQ-0014,EXP-0060,P-0023,2026-07-08T14:00:00,2026-07-08T17:00:00,confirmed
RSV-0032,EQ-0014,EXP-0051,P-0009,2026-07-01T10:00:00,2026-07-01T16:00:00,pending
RSV-0033,EQ-0014,EXP-0050,P-0006,2026-07-01T10:00:00,2026-07-01T13:00:00,confirmed
RSV-0034,EQ-0003,EXP-0074,P-0020,2026-07-04T10:00:00,2026-07-04T14:00:00,confirmed
RSV-0035,EQ-0007,EXP-0059,P-0017,2026-07-04T13:00:00,2026-07-04T19:00:00,pending
RSV-0036,EQ-0011,EXP-0077,P-0022,2026-07-13T14:00:00,2026-07-13T16:00:00,confirmed
RSV-0037,EQ-0012,EXP-0109,P-0023,2026-07-15T10:00:00,2026-07-15T14:00:00,pending
RSV-0038,EQ-0019,EXP-0011,P-0011,2026-07-05T13:00:00,2026-07-05T15:00:00,confirmed
RSV-0039,EQ-0010,EXP-0015,P-0006,2026-07-06T13:00:00,2026-07-06T16:00:00,pending
RSV-0040,EQ-0013,EXP-0054,P-0023,2026-07-20T10:00:00,2026-07-20T16:00:00,confirmed
RSV-0041,EQ-0006,EXP-0063,P-0013,2026-07-18T10:00:00,2026-07-18T13:00:00,confirmed
RSV-0042,EQ-0010,EXP-0018,P-0025,2026-07-06T13:00:00,2026-07-06T19:00:00,pending
RSV-0043,EQ-0002,EXP-0111,P-0016,2026-07-12T09:00:00,2026-07-12T15:00:00,confirmed
RSV-0044,EQ-0007,EXP-0105,P-0016,2026-07-13T14:00:00,2026-07-13T20:00:00,pending
RSV-0045,EQ-0016,EXP-0054,P-0023,2026-07-15T14:00:00,2026-07-15T17:00:00,confirmed
RSV-0046,EQ-0019,EXP-0004,P-0008,2026-07-08T13:00:00,2026-07-08T15:00:00,confirmed
RSV-0047,EQ-0008,EXP-0069,P-0017,2026-07-10T10:00:00,2026-07-10T16:00:00,pending
RSV-0048,EQ-0016,EXP-0071,P-0017,2026-07-17T09:00:00,2026-07-17T11:00:00,confirmed
RSV-0049,EQ-0018,EXP-0106,P-0020,2026-07-12T09:00:00,2026-07-12T15:00:00,pending
RSV-0050,EQ-0007,EXP-0055,P-0009,2026-07-04T10:00:00,2026-07-04T14:00:00,confirmed
RSV-0051,EQ-0015,EXP-0034,P-0020,2026-07-12T09:00:00,2026-07-12T15:00:00,confirmed
RSV-0052,EQ-0008,EXP-0027,P-0007,2026-07-19T13:00:00,2026-07-19T19:00:00,confirmed
RSV-0053,EQ-0020,EXP-0018,P-0025,2026-07-07T10:00:00,2026-07-07T12:00:00,pending
RSV-0054,EQ-0012,EXP-0069,P-0017,2026-07-09T10:00:00,2026-07-09T14:00:00,pending
RSV-0055,EQ-0010,EXP-0038,P-0023,2026-07-19T13:00:00,2026-07-19T15:00:00,confirmed
RSV-0056,EQ-0014,EXP-0118,P-0025,2026-07-02T13:00:00,2026-07-02T16:00:00,pending
RSV-0057,EQ-0005,EXP-0032,P-0011,2026-07-05T13:00:00,2026-07-05T16:00:00,pending
RSV-0058,EQ-0013,EXP-0063,P-0013,2026-07-05T13:00:00,2026-07-05T19:00:00,confirmed
RSV-0059,EQ-0015,EXP-0010,P-0012,2026-07-03T14:00:00,2026-07-03T18:00:00,pending
RSV-0060,EQ-0012,EXP-0059,P-0017,2026-07-16T13:00:00,2026-07-16T15:00:00,pending
RSV-0901,EQ-0001,EXP-0001,P-0023,2026-07-15T10:00:00,2026-07-15T14:00:00,confirmed
RSV-0902,EQ-0001,EXP-0002,P-0023,2026-07-15T12:00:00,2026-07-15T16:00:00,confirmed
