experiment_id,experiment_code,project_id,dataset_id,model_id,equipment_id,researcher_person_id,status,started_at,completed_at,failed_at,failure_reason,result_json,reproducibility_score
EXP-0001,EXP-2026-0001,PJ-0002,DS-0012,MDL-0007,EQ-0003,P-0023,completed,2026-06-03T23:08:35,2026-06-07T05:08:35,,,"{""loss"": 0.131, ""accuracy"": 0.884, ""notes"": ""synthetic experiment result""}",0.83
EXP-0002,EXP-2026-0002,PJ-0005,DS-0005,MDL-0026,EQ-0004,P-0023,completed,2026-04-11T18:04:48,2026-04-14T03:04:48,,,"{""loss"": 0.3852, ""accuracy"": 0.889, ""notes"": ""synthetic experiment result""}",0.83
EXP-0003,EXP-2026-0003,PJ-0008,DS-0033,MDL-0004,EQ-0015,P-0017,failed,2026-04-19T11:52:21,,2026-04-20T11:52:21,Dataset loader timeout after 3 retries,,0.62
EXP-0004,EXP-2026-0004,PJ-0008,DS-0016,MDL-0003,EQ-0003,P-0008,failed,2026-06-22T21:07:31,,2026-06-24T09:07:31,Equipment disconnected mid-run,,0.74
EXP-0005,EXP-2026-0005,PJ-0006,DS-0027,MDL-0014,EQ-0014,P-0015,completed,2026-06-22T12:42:49,2026-06-23T17:42:49,,,"{""loss"": 0.4361, ""accuracy"": 0.874, ""notes"": ""synthetic experiment result""}",0.5
EXP-0006,EXP-2026-0006,PJ-0003,DS-0048,MDL-0032,EQ-0012,P-0025,pending,,,,,,0.57
EXP-0007,EXP-2026-0007,PJ-0007,DS-0014,MDL-0012,EQ-0009,P-0013,completed,2026-05-08T03:53:15,2026-05-08T05:53:15,,,"{""loss"": 0.0894, ""accuracy"": 0.904, ""notes"": ""synthetic experiment result""}",0.94
EXP-0008,EXP-2026-0008,PJ-0003,DS-0029,MDL-0006,EQ-0003,P-0006,completed,2026-05-07T18:35:30,2026-05-09T20:35:30,,,"{""loss"": 0.336, ""accuracy"": 0.982, ""notes"": ""synthetic experiment result""}",0.85
EXP-0009,EXP-2026-0009,PJ-0007,DS-0014,MDL-0012,EQ-0010,P-0006,running,2026-03-31T05:03:17,,,,,0.92
EXP-0010,EXP-2026-0010,PJ-0003,DS-0048,MDL-0001,EQ-0015,P-0012,failed,2026-07-04T11:42:24,,2026-07-04T19:42:24,Numerical instability — loss became NaN at epoch 12,,0.56
EXP-0011,EXP-2026-0011,PJ-0007,DS-0014,MDL-0012,EQ-0019,P-0011,failed,2026-06-25T09:03:24,,2026-06-25T13:03:24,OOM: GPU memory exceeded during training,,0.66
EXP-0012,EXP-2026-0012,PJ-0004,DS-0013,MDL-0011,EQ-0009,P-0017,running,2026-05-13T19:53:42,,,,,0.54
EXP-0013,EXP-2026-0013,PJ-0004,DS-0039,MDL-0019,EQ-0012,P-0017,completed,2026-08-26T20:55:41,2026-08-27T07:55:41,,,"{""loss"": 0.1847, ""accuracy"": 0.915, ""notes"": ""synthetic experiment result""}",0.46
EXP-0014,EXP-2026-0014,PJ-0006,DS-0027,MDL-0039,EQ-0014,P-0014,running,2026-07-14T00:40:21,,,,,0.54
EXP-0015,EXP-2026-0015,PJ-0008,DS-0037,MDL-0040,EQ-0004,P-0006,completed,2026-04-30T05:59:03,2026-05-04T06:59:03,,,"{""loss"": 0.2017, ""accuracy"": 0.816, ""notes"": ""synthetic experiment result""}",0.66
EXP-0016,EXP-2026-0016,PJ-0006,DS-0028,MDL-0015,EQ-0003,P-0010,pending,,,,,,0.93
EXP-0017,EXP-2026-0017,PJ-0006,DS-0002,MDL-0029,EQ-0005,P-0009,completed,2026-08-10T14:51:36,2026-08-14T17:51:36,,,"{""loss"": 0.0552, ""accuracy"": 0.774, ""notes"": ""synthetic experiment result""}",0.77
EXP-0018,EXP-2026-0018,PJ-0002,DS-0050,MDL-0013,EQ-0015,P-0025,pending,,,,,,0.79
EXP-0019,EXP-2026-0019,PJ-0006,DS-0002,MDL-0029,EQ-0016,P-0025,failed,2026-06-22T12:21:40,,2026-06-22T17:21:40,Numerical instability — loss became NaN at epoch 12,,0.48
EXP-0020,EXP-2026-0020,PJ-0008,DS-0016,MDL-0027,EQ-0010,P-0006,completed,2026-06-07T11:06:26,2026-06-09T14:06:26,,,"{""loss"": 0.2937, ""accuracy"": 0.983, ""notes"": ""synthetic experiment result""}",0.78
EXP-0021,EXP-2026-0021,PJ-0008,DS-0016,MDL-0031,EQ-0002,P-0010,failed,2026-06-01T08:35:30,,2026-06-02T17:35:30,Dataset loader timeout after 3 retries,,0.62
EXP-0022,EXP-2026-0022,PJ-0001,DS-0025,MDL-0038,EQ-0011,P-0011,completed,2026-05-25T07:51:14,2026-05-28T04:51:14,,,"{""loss"": 0.232, ""accuracy"": 0.75, ""notes"": ""synthetic experiment result""}",0.83
EXP-0023,EXP-2026-0023,PJ-0003,DS-0006,MDL-0020,EQ-0013,P-0005,failed,2026-07-30T16:39:41,,2026-07-31T14:39:41,OOM: GPU memory exceeded during training,,0.87
EXP-0024,EXP-2026-0024,PJ-0006,DS-0027,MDL-0014,EQ-0010,P-0008,running,2026-07-07T03:45:46,,,,,0.63
EXP-0025,EXP-2026-0025,PJ-0003,DS-0006,MDL-0020,EQ-0013,P-0013,completed,2026-07-29T22:53:45,2026-08-03T05:53:45,,,"{""loss"": 0.2718, ""accuracy"": 0.972, ""notes"": ""synthetic experiment result""}",0.75
EXP-0026,EXP-2026-0026,PJ-0006,DS-0028,MDL-0015,EQ-0017,P-0015,completed,2026-05-14T23:25:12,2026-05-16T00:25:12,,,"{""loss"": 0.2943, ""accuracy"": 0.823, ""notes"": ""synthetic experiment result""}",0.46
