log_id,project_id,equipment_id,timestamp,pressure_bar,flow_rate_lpm,cylinder_stroke_mm,quality_label,anomaly_flag
HYD-0001,PJ-0002,EQ-0016,2026-04-01T01:00:00,214.9,19.22,143.2,pass,False
HYD-0002,PJ-0002,EQ-0020,2026-04-01T02:00:00,174.8,37.09,154.6,pass,False
HYD-0003,PJ-0002,EQ-0003,2026-04-01T03:00:00,165.6,18.02,231.0,pass,False
HYD-0004,PJ-0002,EQ-0016,2026-04-01T04:00:00,82.9,20.96,149.0,pass,False
HYD-0005,PJ-0002,EQ-0014,2026-04-01T05:00:00,236.0,32.67,80.3,pass,False
HYD-0006,PJ-0002,EQ-0011,2026-04-01T06:00:00,178.7,62.57,274.8,pass,False
HYD-0007,PJ-0002,EQ-0003,2026-04-01T07:00:00,251.0,64.34,465.0,pass,False
HYD-0008,PJ-0002,EQ-0006,2026-04-01T08:00:00,140.5,12.11,196.0,pass,False
HYD-0009,PJ-0002,EQ-0017,2026-04-01T09:00:00,242.7,77.93,362.2,pass,False
HYD-0010,PJ-0002,EQ-0016,2026-04-01T10:00:00,122.1,62.13,359.4,pass,False
HYD-0011,PJ-0002,EQ-0018,2026-04-01T11:00:00,96.2,6.32,460.4,fail,True
HYD-0012,PJ-0002,EQ-0018,2026-04-01T12:00:00,171.8,53.04,154.6,pass,False
HYD-0013,PJ-0002,EQ-0001,2026-04-01T13:00:00,135.8,51.23,453.6,pass,False
HYD-0014,PJ-0002,EQ-0014,2026-04-01T14:00:00,136.7,37.14,159.6,pass,False
HYD-0015,PJ-0002,EQ-0003,2026-04-01T15:00:00,94.4,33.09,183.5,pass,False
HYD-0016,PJ-0002,EQ-0006,2026-04-01T16:00:00,170.2,53.15,157.1,pass,False
HYD-0017,PJ-0002,EQ-0018,2026-04-01T17:00:00,257.4,29.65,175.2,pass,False
HYD-0018,PJ-0002,EQ-0001,2026-04-01T18:00:00,205.0,78.32,341.6,pass,False
HYD-0019,PJ-0002,EQ-0014,2026-04-01T19:00:00,260.1,22.18,379.8,pass,False
HYD-0020,PJ-0002,EQ-0016,2026-04-01T20:00:00,138.1,45.45,458.0,pass,False
HYD-0021,PJ-0002,EQ-0011,2026-04-01T21:00:00,272.3,57.22,150.1,pass,False
HYD-0022,PJ-0002,EQ-0017,2026-04-01T22:00:00,205.2,18.77,333.4,pass,False
HYD-0023,PJ-0002,EQ-0003,2026-04-01T23:00:00,288.8,10.25,136.6,fail,True
HYD-0024,PJ-0002,EQ-0006,2026-04-02T00:00:00,305.2,14.42,128.2,fail,True
HYD-0025,PJ-0002,EQ-0020,2026-04-02T01:00:00,279.5,74.89,156.3,pass,False
HYD-0026,PJ-0002,EQ-0003,2026-04-02T02:00:00,182.3,40.03,123.9,pass,False
