invoice_id,invoice_code,supplier_name,business_registration_no,project_id,purchase_request_id,amount_krw,vat_krw,issue_date,source_file,confidence
INV-0001,INV-2026-0001,Ulsan Sensor Co.,537-21-48607,PJ-0001,PR-0074,3620306,362030,2026-10-28,synthetic_invoice_0001.pdf,0.83
INV-0002,INV-2026-0002,Daejeon Simulation Works,183-70-25139,PJ-0002,,1526945,152694,2026-06-18,synthetic_invoice_0002.pdf,0.89
INV-0003,INV-2026-0003,Gyeongnam Robotics Parts,289-57-59996,PJ-0003,PR-0061,5070413,507041,2026-07-04,synthetic_invoice_0003.pdf,0.63
INV-0004,INV-2026-0004,Daejeon Simulation Works,677-17-29808,PJ-0005,PR-0006,5674303,567430,2026-10-10,synthetic_invoice_0004.pdf,0.85
INV-0005,INV-2026-0005,Busan Industrial AI Tools,666-17-60738,,PR-0013,1274515,127451,2026-10-27,synthetic_invoice_0005.pdf,0.77
INV-0006,INV-2026-0006,Busan Industrial AI Tools,587-48-20348,PJ-0003,PR-0069,115081,11508,2026-07-11,synthetic_invoice_0006.pdf,0.94
INV-0007,INV-2026-0007,Korea Vision Systems,223-67-32659,PJ-0003,PR-0005,5783574,578357,2026-05-13,synthetic_invoice_0007.pdf,0.97
INV-0008,INV-2026-0008,Busan Industrial AI Tools,942-90-29382,PJ-0001,PR-0025,3752343,375234,2026-10-31,synthetic_invoice_0008.pdf,0.81
INV-0009,INV-2026-0009,Gyeongnam Robotics Parts,669-60-82358,PJ-0002,PR-0041,5445352,544535,2026-06-23,synthetic_invoice_0009.pdf,0.92
INV-0010,INV-2026-0010,Gyeongnam Robotics Parts,215-63-29613,PJ-0005,PR-0067,5326588,532658,2026-05-08,synthetic_invoice_0010.pdf,0.79
INV-0011,INV-2026-0011,Ulsan Sensors Ltd.,904-46-80206,PJ-0006,PR-0075,4820133,482013,2026-06-28,synthetic_invoice_0011.pdf,0.93
INV-0012,INV-2026-0012,Ulsan Sensor Co.,276-45-62818,PJ-0005,PR-0034,2706321,270632,2026-05-07,synthetic_invoice_0012.pdf,0.82
INV-0013,INV-2026-0013,Busan Industrial AI Tools,150-70-45203,,PR-0052,51849559,5184955,2026-07-05,synthetic_invoice_0013.pdf,0.56
INV-0014,INV-2026-0014,Ulsan Sensors Ltd.,989-39-27614,PJ-0004,PR-0039,5844955,584495,2026-06-16,synthetic_invoice_0014.pdf,0.97
INV-0015,INV-2026-0015,Ulsan Sensors Ltd.,292-66-37707,PJ-0006,PR-0057,4165786,416578,2026-10-28,synthetic_invoice_0015.pdf,0.73
INV-0016,INV-2026-0016,Korea Vision Systems,167-49-76426,PJ-0008,PR-0063,4422395,442239,2026-07-13,synthetic_invoice_0016.pdf,0.61
INV-0017,INV-2026-0017,Busan Industrial AI Tools,957-17-42701,PJ-0006,,5040471,504047,2026-04-09,synthetic_invoice_0017.pdf,0.75
INV-0018,INV-2026-0018,Gyeongnam Robotics Parts,750-25-99282,PJ-0006,PR-0047,4337307,433730,2026-04-08,synthetic_invoice_0018.pdf,0.65
INV-0019,INV-2026-0019,Seoul GPU Market,452-30-43903,PJ-0008,PR-0063,5023108,502310,2026-10-09,synthetic_invoice_0019.pdf,0.91
INV-0020,INV-2026-0020,Busan Industrial AI Tools,977-38-94853,PJ-0003,PR-0012,1887238,188723,2026-05-28,synthetic_invoice_0020.pdf,0.84
INV-0021,INV-2026-0021,Ulsan Sensor Co.,585-26-94852,PJ-0006,PR-0035,6538866,653886,2026-05-15,synthetic_invoice_0021.pdf,0.81
INV-0022,INV-2026-0022,Daejeon Simulation Works,533-58-55706,PJ-0007,PR-0002,6078900,607890,2026-07-27,synthetic_invoice_0022.pdf,0.66
INV-0023,INV-2026-0023,Ulsan Sensors Ltd.,107-75-96816,PJ-0004,PR-0060,568995,56899,2026-07-05,synthetic_invoice_0023.pdf,0.79
INV-0024,INV-2026-0024,Ulsan Sensors Ltd.,444-45-93964,PJ-0002,PR-0077,1526945,152694,2026-06-23,synthetic_invoice_0024.pdf,0.92
INV-0025,INV-2026-0025,Busan Industrial AI Tools,253-76-41496,PJ-0005,PR-0034,2706321,270632,2026-04-15,synthetic_invoice_0025.pdf,0.9
INV-0026,INV-2026-0026,Ulsan Sensor Co.,771-73-48745,PJ-0002,PR-0077,1526945,152694,2026-06-06,synthetic_invoice_0026.pdf,0.94
INV-0027,INV-2026-0027,Busan Industrial AI Tools,451-38-99957,PJ-0002,,51849559,5184955,2026-08-15,synthetic_invoice_0027.pdf,0.82
INV-0028,INV-2026-0028,Korea Vision Systems,960-94-83170,PJ-0003,PR-0061,5070413,507041,2026-05-17,synthetic_invoice_0028.pdf,0.68
INV-0029,INV-2026-0029,Korea Vision Systems,796-52-95778,PJ-0003,PR-0061,6499821,649982,2026-04-23,synthetic_invoice_0029.pdf,0.65
INV-0030,INV-2026-0030,Seoul GPU Market,366-84-48541,PJ-0003,PR-0029,2879289,287928,2026-07-28,synthetic_invoice_0030.pdf,0.92
