milestone_id,project_id,milestone_name,due_date,status,risk_score
MS-0001,PJ-0002,Paper submission,2026-12-04,completed,0.24
MS-0002,PJ-0004,Final report,2027-01-28,in_progress,0.87
MS-0003,PJ-0003,Model evaluation,2026-10-03,in_progress,0.25
MS-0004,PJ-0002,Final report,2026-10-01,not_started,0.65
MS-0005,PJ-0008,Model evaluation,2027-05-27,not_started,0.54
MS-0006,PJ-0005,Final report,2026-08-20,delayed,0.23
MS-0007,PJ-0006,Paper submission,2026-12-30,in_progress,0.17
MS-0008,PJ-0002,Dataset release,2026-11-23,completed,0.61
MS-0009,PJ-0008,Paper submission,2027-02-16,completed,0.35
MS-0010,PJ-0003,Model evaluation,2027-04-16,delayed,0.56
MS-0011,PJ-0003,Dataset release,2026-07-03,delayed,0.33
MS-0012,PJ-0005,Paper submission,2027-01-01,completed,0.17
MS-0013,PJ-0008,Model evaluation,2027-02-22,delayed,0.45
MS-0014,PJ-0002,Interim report,2026-09-28,completed,0.63
MS-0015,PJ-0003,Paper submission,2027-04-02,not_started,0.23
MS-0016,PJ-0002,Paper submission,2026-07-10,not_started,0.81
MS-0017,PJ-0007,Interim report,2027-04-29,completed,0.24
MS-0018,PJ-0008,Model evaluation,2027-05-31,delayed,0.75
MS-0019,PJ-0004,Model evaluation,2027-04-28,in_progress,0.71
MS-0020,PJ-0008,Prototype demo,2027-03-14,completed,0.51
MS-0021,PJ-0001,Final report,2026-10-31,in_progress,0.81
MS-0022,PJ-0003,Final report,2027-02-14,in_progress,0.19
MS-0023,PJ-0008,Prototype demo,2026-12-31,in_progress,0.09
MS-0024,PJ-0002,Interim report,2026-11-13,in_progress,0.38
MS-0025,PJ-0006,Prototype demo,2027-01-15,not_started,0.47
MS-0026,PJ-0001,Paper submission,2027-05-29,completed,0.34
MS-0027,PJ-0005,Dataset release,2027-04-23,delayed,0.54
MS-0028,PJ-0007,Interim report,2027-01-04,completed,0.58
MS-0029,PJ-0007,Model evaluation,2026-10-23,completed,0.51
MS-0030,PJ-0008,Interim report,2027-03-04,in_progress,0.85
MS-0031,PJ-0008,Final report,2026-09-23,completed,0.26
MS-0032,PJ-0004,Model evaluation,2026-09-15,not_started,0.22
MS-0033,PJ-0004,Paper submission,2027-01-29,not_started,0.78
MS-0034,PJ-0008,Final report,2027-03-03,in_progress,0.48
MS-0035,PJ-0007,Dataset release,2026-07-12,in_progress,0.27
MS-0036,PJ-0003,Final report,2027-05-19,in_progress,0.51
MS-0037,PJ-0001,Dataset release,2026-09-24,delayed,0.28
MS-0038,PJ-0001,Dataset release,2026-11-23,delayed,0.9
MS-0039,PJ-0008,Prototype demo,2027-03-04,in_progress,0.2
MS-0040,PJ-0003,Model evaluation,2027-05-16,in_progress,0.64
