model_id,model_code,project_id,dataset_id,name,model_type,version,dataset_version_status,accuracy,f1_score,false_alarm_rate,deployment_status,code_commit
MDL-0001,MODEL-WELDING-IN-001,PJ-0003,DS-0048,Synthetic Welding inspection AI Model 001,XGBoost,v02,current,0.836,0.785,0.065,research,895c2d43080f
MDL-0002,MODEL-WELDING-IN-002,PJ-0003,DS-0029,Synthetic Welding inspection AI Model 002,XGBoost,v05,current,0.892,0.782,0.139,research,51843a546e43
MDL-0003,MODEL-SYSTEM-ANO-003,PJ-0008,DS-0016,Synthetic System anomaly detection Model 003,Transformer,v02,current,0.981,0.783,0.097,research,cdf5b06943ca
MDL-0004,MODEL-SYSTEM-ANO-004,PJ-0008,DS-0033,Synthetic System anomaly detection Model 004,NormalizingFlow,v06,outdated,0.881,0.815,0.085,research,c1b73b68d14f
MDL-0005,MODEL-CYBER-PHYS-005,PJ-0004,DS-0031,Synthetic Cyber-physical systems Model 005,Transformer,v08,current,0.955,0.81,0.015,demo,34a28c2b81b2
MDL-0006,MODEL-WELDING-IN-006,PJ-0003,DS-0029,Synthetic Welding inspection AI Model 006,NormalizingFlow,v07,current,0.727,0.977,0.165,archived,9036047dbb9c
MDL-0007,MODEL-HYDRAULIC--007,PJ-0002,DS-0012,Synthetic Hydraulic quality monitoring Model 007,RandomForest,v05,current,0.848,0.74,0.152,archived,4c1336e223d1
MDL-0008,MODEL-CYBER-PHYS-008,PJ-0004,DS-0039,Synthetic Cyber-physical systems Model 008,XGBoost,v04,current,0.967,0.818,0.159,research,a8fd2bcb5fb3
MDL-0009,MODEL-SEMICONDUC-009,PJ-0005,DS-0036,Synthetic Semiconductor digital twin Model 009,DigitalTwinSimulator,v09,current,0.777,0.651,0.133,archived,1ba42b014f35
MDL-0010,MODEL-WELDING-IN-010,PJ-0003,DS-0048,Synthetic Welding inspection AI Model 010,Transformer,v06,current,0.86,0.829,0.087,pilot,e5cc765ac5b7
MDL-0011,MODEL-CYBER-PHYS-011,PJ-0004,DS-0013,Synthetic Cyber-physical systems Model 011,LSTM,v07,current,0.713,0.896,0.13,archived,cdffce7d9a50
MDL-0012,MODEL-MACHINE-VI-012,PJ-0007,DS-0014,Synthetic Machine vision Model 012,CNN,v03,current,0.846,0.845,0.158,archived,fa162c4ce39e
