event_id,project_id,vessel_id,operation_type,start_time,end_time,duration_min,bottleneck_flag,case_id
PORT-0001,PJ-0006,VESSEL-019,container_unload,2026-04-07T05:00:00,2026-04-07T06:31:00,91,False,CASE-007
PORT-0002,PJ-0006,VESSEL-017,vessel_arrival,2026-04-29T16:29:00,2026-04-29T20:56:00,267,False,CASE-009
PORT-0003,PJ-0006,VESSEL-009,container_unload,2026-04-28T07:18:00,2026-04-28T13:30:00,372,True,CASE-018
PORT-0004,PJ-0006,VESSEL-008,berth_assignment,2026-04-06T07:02:00,2026-04-06T11:45:00,283,False,CASE-010
PORT-0005,PJ-0006,VESSEL-005,vessel_arrival,2026-04-21T04:56:00,2026-04-21T07:28:00,152,False,CASE-009
PORT-0006,PJ-0006,VESSEL-018,vessel_arrival,2026-04-21T07:52:00,2026-04-21T09:49:00,117,False,CASE-004
PORT-0007,PJ-0006,VESSEL-012,vessel_arrival,2026-04-21T11:40:00,2026-04-21T16:59:00,319,True,CASE-011
PORT-0008,PJ-0006,VESSEL-005,berth_assignment,2026-04-23T17:16:00,2026-04-23T23:35:00,379,True,CASE-014
PORT-0009,PJ-0006,VESSEL-001,container_unload,2026-04-11T01:40:00,2026-04-11T08:47:00,427,True,CASE-027
PORT-0010,PJ-0006,VESSEL-009,customs_clearance,2026-04-08T23:17:00,2026-04-09T00:57:00,100,False,CASE-001
PORT-0011,PJ-0006,VESSEL-009,berth_assignment,2026-04-24T23:44:00,2026-04-25T03:09:00,205,False,CASE-028
PORT-0012,PJ-0006,VESSEL-009,crane_end,2026-04-27T14:14:00,2026-04-27T17:10:00,176,False,CASE-007
PORT-0013,PJ-0006,VESSEL-014,container_load,2026-04-05T14:14:00,2026-04-05T20:37:00,383,True,CASE-012
PORT-0014,PJ-0006,VESSEL-006,crane_start,2026-04-29T15:05:00,2026-04-29T19:28:00,263,False,CASE-015
PORT-0015,PJ-0006,VESSEL-016,crane_start,2026-04-27T05:12:00,2026-04-27T10:13:00,301,True,CASE-024
PORT-0016,PJ-0006,VESSEL-006,crane_start,2026-04-21T09:01:00,2026-04-21T11:49:00,168,False,CASE-029
PORT-0017,PJ-0006,VESSEL-007,crane_start,2026-04-27T12:43:00,2026-04-27T18:04:00,321,True,CASE-003
PORT-0018,PJ-0006,VESSEL-013,crane_start,2026-04-03T13:15:00,2026-04-03T17:17:00,242,False,CASE-004
PORT-0019,PJ-0006,VESSEL-013,crane_start,2026-04-24T00:38:00,2026-04-24T01:39:00,61,False,CASE-013
PORT-0020,PJ-0006,VESSEL-002,vessel_arrival,2026-04-04T00:48:00,2026-04-04T08:03:00,435,True,CASE-005
PORT-0021,PJ-0006,VESSEL-020,crane_end,2026-04-25T02:17:00,2026-04-25T03:40:00,83,False,CASE-001
PORT-0022,PJ-0006,VESSEL-011,vessel_arrival,2026-04-26T03:34:00,2026-04-26T10:00:00,386,True,CASE-028
PORT-0023,PJ-0006,VESSEL-019,berth_assignment,2026-04-07T04:30:00,2026-04-07T11:08:00,398,True,CASE-029
PORT-0024,PJ-0006,VESSEL-016,vessel_departure,2026-04-27T05:19:00,2026-04-27T08:18:00,179,False,CASE-005
PORT-0025,PJ-0006,VESSEL-018,crane_end,2026-04-02T17:44:00,2026-04-02T20:10:00,146,False,CASE-004
PORT-0026,PJ-0006,VESSEL-010,vessel_arrival,2026-04-27T01:06:00,2026-04-27T05:54:00,288,False,CASE-004
PORT-0027,PJ-0006,VESSEL-001,container_load,2026-04-05T00:58:00,2026-04-05T03:02:00,124,False,CASE-008
PORT-0028,PJ-0006,VESSEL-010,container_load,2026-04-13T04:22:00,2026-04-13T10:07:00,345,True,CASE-008
PORT-0029,PJ-0006,VESSEL-004,container_load,2026-04-22T22:52:00,2026-04-23T06:43:00,471,True,CASE-016
PORT-0030,PJ-0006,VESSEL-012,crane_start,2026-04-04T07:06:00,2026-04-04T09:40:00,154,False,CASE-003
PORT-0031,PJ-0006,VESSEL-003,customs_clearance,2026-04-04T11:59:00,2026-04-04T19:59:00,480,True,CASE-029
PORT-0032,PJ-0006,VESSEL-017,vessel_arrival,2026-04-20T04:11:00,2026-04-20T08:00:00,229,False,CASE-011
PORT-0033,PJ-0006,VESSEL-010,crane_start,2026-04-22T13:09:00,2026-04-22T20:56:00,467,True,CASE-020
PORT-0034,PJ-0006,VESSEL-016,container_unload,2026-04-12T03:17:00,2026-04-12T11:16:00,479,True,CASE-022
PORT-0035,PJ-0006,VESSEL-003,customs_clearance,2026-04-30T08:51:00,2026-04-30T16:45:00,474,True,CASE-026
PORT-0036,PJ-0006,VESSEL-005,vessel_arrival,2026-04-28T04:49:00,2026-04-28T10:34:00,345,True,CASE-011
PORT-0037,PJ-0006,VESSEL-016,crane_start,2026-04-13T14:46:00,2026-04-13T21:43:00,417,True,CASE-027
PORT-0038,PJ-0006,VESSEL-009,berth_assignment,2026-04-04T18:27:00,2026-04-05T00:49:00,382,True,CASE-005
PORT-0039,PJ-0006,VESSEL-013,berth_assignment,2026-04-11T04:11:00,2026-04-11T10:53:00,402,True,CASE-012
PORT-0040,PJ-0006,VESSEL-014,customs_clearance,2026-04-16T13:30:00,2026-04-16T19:35:00,365,True,CASE-020
PORT-0041,PJ-0006,VESSEL-013,customs_clearance,2026-04-05T20:58:00,2026-04-05T23:13:00,135,True,CASE-014
PORT-0042,PJ-0006,VESSEL-018,vessel_departure,2026-04-18T17:31:00,2026-04-18T22:13:00,282,False,CASE-027
PORT-0043,PJ-0006,VESSEL-014,crane_end,2026-04-13T02:37:00,2026-04-13T08:53:00,376,True,CASE-017
PORT-0044,PJ-0006,VESSEL-001,crane_end,2026-04-23T02:15:00,2026-04-23T05:30:00,195,False,CASE-007
PORT-0045,PJ-0006,VESSEL-004,vessel_arrival,2026-04-12T17:30:00,2026-04-12T18:48:00,78,False,CASE-002
PORT-0046,PJ-0006,VESSEL-005,customs_clearance,2026-04-12T04:18:00,2026-04-12T08:23:00,245,True,CASE-027
PORT-0047,PJ-0006,VESSEL-002,container_load,2026-04-08T06:52:00,2026-04-08T08:56:00,124,False,CASE-024
PORT-0048,PJ-0006,VESSEL-013,crane_start,2026-04-04T22:45:00,2026-04-05T00:08:00,83,False,CASE-024
