project_id,person_id,project_role,allocation_percent
PJ-0001,P-0001,Principal Investigator,20
PJ-0001,P-0025,Experiment Owner,50
PJ-0001,P-0014,Data Engineer,40
PJ-0001,P-0010,Data Engineer,30
PJ-0001,P-0020,ML Engineer,60
PJ-0002,P-0001,Principal Investigator,20
PJ-0002,P-0025,Experiment Owner,20
PJ-0002,P-0016,Lead Researcher,20
PJ-0002,P-0015,Data Engineer,30
PJ-0002,P-0011,Experiment Owner,60
PJ-0002,P-0006,Lead Researcher,50
PJ-0002,P-0012,Experiment Owner,60
PJ-0003,P-0001,Principal Investigator,20
PJ-0003,P-0022,ML Engineer,40
PJ-0003,P-0012,Lead Researcher,40
PJ-0003,P-0004,Experiment Owner,30
PJ-0003,P-0007,Experiment Owner,20
PJ-0003,P-0014,ML Engineer,60
PJ-0003,P-0023,Data Engineer,60
PJ-0004,P-0001,Principal Investigator,20
PJ-0004,P-0013,Data Engineer,40
PJ-0004,P-0022,Data Engineer,60
PJ-0004,P-0010,Lead Researcher,60
PJ-0005,P-0001,Principal Investigator,20
PJ-0005,P-0020,ML Engineer,30
PJ-0005,P-0004,Lead Researcher,30
PJ-0005,P-0007,Lead Researcher,20
PJ-0005,P-0015,Experiment Owner,20
PJ-0005,P-0019,Data Engineer,30
PJ-0006,P-0001,Principal Investigator,20
PJ-0006,P-0023,Data Engineer,40
PJ-0006,P-0009,Experiment Owner,40
PJ-0006,P-0012,Experiment Owner,60
PJ-0006,P-0017,Experiment Owner,20
PJ-0006,P-0007,Data Engineer,30
PJ-0006,P-0022,Lead Researcher,40
PJ-0007,P-0001,Principal Investigator,20
PJ-0007,P-0025,Data Engineer,20
PJ-0007,P-0023,Lead Researcher,20
PJ-0007,P-0011,Data Engineer,20
PJ-0008,P-0001,Principal Investigator,20
PJ-0008,P-0014,Data Engineer,40
PJ-0008,P-0006,Experiment Owner,30
PJ-0008,P-0022,Data Engineer,60
