purchase_request_id,request_code,project_id,requester_person_id,item_name,amount_krw,status,approval_required,budget_check_status,created_at
PR-0001,PR-2026-0001,PJ-0002,P-0015,GPU workstation component,3945751,rejected,true,ok,2026-05-26T00:00:00
PR-0002,PR-2026-0002,PJ-0007,P-0012,Annotation software license,4249969,approved,true,ok,2026-06-26T00:00:00
PR-0003,PR-2026-0003,PJ-0003,P-0014,Industrial camera lens,4171309,pending,true,ok,2026-04-26T00:00:00
PR-0004,PR-2026-0004,PJ-0008,P-0019,Industrial camera lens,58403549,rejected,true,over_budget,2026-05-22T00:00:00
PR-0005,PR-2026-0005,PJ-0003,P-0009,NAS storage expansion,2632231,pending,true,ok,2026-07-02T00:00:00
PR-0006,PR-2026-0006,PJ-0005,P-0009,Industrial camera lens,5674303,rejected,true,ok,2026-09-08T00:00:00
PR-0007,PR-2026-0007,PJ-0005,P-0017,GPU workstation component,2064140,pending,true,ok,2026-04-01T00:00:00
PR-0008,PR-2026-0008,PJ-0004,P-0025,Thermal camera module,1213166,rejected,true,ok,2026-04-03T00:00:00
PR-0009,PR-2026-0009,PJ-0001,P-0017,Vibration sensor kit,1111613,rejected,true,ok,2026-04-19T00:00:00
PR-0010,PR-2026-0010,PJ-0004,P-0007,Annotation software license,959221,approved,false,ok,2026-06-16T00:00:00
PR-0011,PR-2026-0011,PJ-0003,P-0008,GPU workstation component,1216911,pending,true,ok,2026-09-04T00:00:00
PR-0012,PR-2026-0012,PJ-0003,P-0008,Edge AI box,1887238,rejected,true,ok,2026-05-26T00:00:00
PR-0013,PR-2026-0013,PJ-0002,P-0007,Conference registration,1274515,rejected,true,ok,2026-06-29T00:00:00
PR-0014,PR-2026-0014,PJ-0007,P-0011,NAS storage expansion,1272980,pending,true,ok,2026-06-03T00:00:00
PR-0015,PR-2026-0015,PJ-0005,P-0004,NAS storage expansion,5892133,approved,true,ok,2026-08-11T00:00:00
PR-0016,PR-2026-0016,PJ-0004,P-0005,Thermal camera module,2579186,rejected,true,ok,2026-07-08T00:00:00
PR-0017,PR-2026-0017,PJ-0002,P-0006,Experiment fixture,5452622,pending,true,ok,2026-07-02T00:00:00
PR-0018,PR-2026-0018,PJ-0006,P-0017,Annotation software license,4867920,approved,true,ok,2026-07-30T00:00:00
PR-0019,PR-2026-0019,PJ-0002,P-0012,Thermal camera module,51231415,pending,true,over_budget,2026-04-16T00:00:00
PR-0020,PR-2026-0020,PJ-0007,P-0022,Edge AI box,5372833,rejected,true,ok,2026-07-12T00:00:00
PR-0021,PR-2026-0021,PJ-0002,P-0008,NAS storage expansion,4610180,pending,true,ok,2026-06-19T00:00:00
PR-0022,PR-2026-0022,PJ-0002,P-0008,Experiment fixture,1804544,approved,true,ok,2026-07-10T00:00:00
PR-0023,PR-2026-0023,PJ-0002,P-0011,Industrial camera lens,3769898,approved,true,ok,2026-04-23T00:00:00
PR-0024,PR-2026-0024,PJ-0007,P-0005,NAS storage expansion,5236317,approved,true,ok,2026-05-01T00:00:00
PR-0025,PR-2026-0025,PJ-0001,P-0004,Vibration sensor kit,5984605,rejected,true,ok,2026-06-28T00:00:00
PR-0026,PR-2026-0026,PJ-0005,P-0012,GPU workstation component,1164771,pending,true,ok,2026-06-25T00:00:00
PR-0027,PR-2026-0027,PJ-0007,P-0012,Conference registration,635797,pending,false,ok,2026-08-06T00:00:00
PR-0028,PR-2026-0028,PJ-0008,P-0020,Conference registration,565056,approved,false,ok,2026-07-04T00:00:00
PR-0029,PR-2026-0029,PJ-0003,P-0025,GPU workstation component,963228,approved,false,ok,2026-08-09T00:00:00
PR-0030,PR-2026-0030,PJ-0001,P-0005,Pressure sensor,125102892,approved,true,over_budget,2026-07-08T00:00:00
PR-0031,PR-2026-0031,PJ-0003,P-0023,Edge AI box,396651,approved,false,ok,2026-06-22T00:00:00
PR-0032,PR-2026-0032,PJ-0004,P-0012,GPU workstation component,2783810,approved,true,ok,2026-05-01T00:00:00
PR-0033,PR-2026-0033,PJ-0001,P-0005,Edge AI box,4426626,pending,true,ok,2026-07-29T00:00:00
