file_id,file_name,file_type,source_module,linked_entity_type,linked_entity_id,extraction_confidence,contains_error,uploaded_by,uploaded_at,storage_path
FILE-0001,synthetic_invoice_0001.pdf,pdf,invoice_ocr,Invoice,INV-0001,0.83,False,P-0002,2026-10-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0001.pdf
FILE-0002,synthetic_invoice_0002.pdf,pdf,invoice_ocr,Invoice,INV-0002,0.89,True,P-0002,2026-06-18T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0002.pdf
FILE-0003,synthetic_invoice_0003.pdf,pdf,invoice_ocr,Invoice,INV-0003,0.63,False,P-0002,2026-07-04T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0003.pdf
FILE-0004,synthetic_invoice_0004.pdf,pdf,invoice_ocr,Invoice,INV-0004,0.85,False,P-0002,2026-10-10T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0004.pdf
FILE-0005,synthetic_invoice_0005.pdf,pdf,invoice_ocr,Invoice,INV-0005,0.77,True,P-0002,2026-10-27T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0005.pdf
FILE-0006,synthetic_invoice_0006.pdf,pdf,invoice_ocr,Invoice,INV-0006,0.94,False,P-0002,2026-07-11T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0006.pdf
FILE-0007,synthetic_invoice_0007.pdf,pdf,invoice_ocr,Invoice,INV-0007,0.97,False,P-0002,2026-05-13T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0007.pdf
FILE-0008,synthetic_invoice_0008.pdf,pdf,invoice_ocr,Invoice,INV-0008,0.81,False,P-0002,2026-10-31T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0008.pdf
FILE-0009,synthetic_invoice_0009.pdf,pdf,invoice_ocr,Invoice,INV-0009,0.92,False,P-0002,2026-06-23T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0009.pdf
FILE-0010,synthetic_invoice_0010.pdf,pdf,invoice_ocr,Invoice,INV-0010,0.79,False,P-0002,2026-05-08T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0010.pdf
FILE-0011,synthetic_invoice_0011.pdf,pdf,invoice_ocr,Invoice,INV-0011,0.93,False,P-0002,2026-06-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0011.pdf
FILE-0012,synthetic_invoice_0012.pdf,pdf,invoice_ocr,Invoice,INV-0012,0.82,False,P-0002,2026-05-07T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0012.pdf
FILE-0013,synthetic_invoice_0013.pdf,pdf,invoice_ocr,Invoice,INV-0013,0.56,True,P-0002,2026-07-05T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0013.pdf
FILE-0014,synthetic_invoice_0014.pdf,pdf,invoice_ocr,Invoice,INV-0014,0.97,False,P-0002,2026-06-16T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0014.pdf
FILE-0015,synthetic_invoice_0015.pdf,pdf,invoice_ocr,Invoice,INV-0015,0.73,False,P-0002,2026-10-28T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0015.pdf
FILE-0016,synthetic_invoice_0016.pdf,pdf,invoice_ocr,Invoice,INV-0016,0.61,False,P-0002,2026-07-13T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0016.pdf
FILE-0017,synthetic_invoice_0017.pdf,pdf,invoice_ocr,Invoice,INV-0017,0.75,True,P-0002,2026-04-09T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0017.pdf
FILE-0018,synthetic_invoice_0018.pdf,pdf,invoice_ocr,Invoice,INV-0018,0.65,False,P-0002,2026-04-08T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0018.pdf
FILE-0019,synthetic_invoice_0019.pdf,pdf,invoice_ocr,Invoice,INV-0019,0.91,False,P-0002,2026-10-09T10:00:00,minio://synthetic-dais/raw/invoices/synthetic_invoice_0019.pdf
