permission_id,role,entity_type,action,permission
PERM-0001,Professor,Dataset,read,allow
PERM-0002,Professor,Dataset,approve,allow
PERM-0003,Professor,ModelAsset,read,allow
PERM-0004,Professor,PurchaseRequest,approve,allow
PERM-0005,Professor,AgentProposal,approve,allow
PERM-0006,Professor,AgentProposal,reject,allow
PERM-0007,Admin,Dataset,read,allow
PERM-0008,Admin,PurchaseRequest,review,allow
PERM-0009,Admin,Invoice,match,allow
PERM-0010,Admin,Invoice,pay,allow
PERM-0011,Admin,AgentProposal,read,allow
PERM-0012,Researcher,Dataset,read,allow
PERM-0013,Researcher,Dataset,create,allow
PERM-0014,Researcher,Dataset,upload,allow
PERM-0015,Researcher,ModelAsset,create,allow
PERM-0016,Researcher,Experiment,create,allow
PERM-0017,Researcher,PurchaseRequest,create,allow
PERM-0018,Researcher,Dataset_high,read,deny
PERM-0019,Guest,Dataset,read,allow
PERM-0020,Guest,Dataset_high,read,deny
PERM-0021,Guest,Dataset_medium,read,deny
PERM-0022,Guest,ModelAsset,create,deny
PERM-0023,Guest,PurchaseRequest,create,deny
PERM-0024,SystemAgent,Dataset,read,allow
PERM-0025,SystemAgent,AgentProposal,create,allow
PERM-0026,SystemAgent,AgentProposal,approve,deny
PERM-0027,SystemAgent,PurchaseRequest,approve,deny
PERM-0028,SystemAgent,Invoice,pay,deny
