run_id,project_id,model_id,simulation_config,yield_percent,cycle_time_sec,defect_density_per_cm2,status,run_date
SEMI-0001,PJ-0005,MDL-0009,"{""temperature_c"": 329.7, ""pressure_mbar"": 3.78, ""gas_flow_sccm"": 495.7}",78.02,274,3.159,completed,2026-05-14
SEMI-0002,PJ-0005,MDL-0026,"{""temperature_c"": 167.6, ""pressure_mbar"": 8.29, ""gas_flow_sccm"": 118.7}",92.56,145,3.505,completed,2026-04-15
SEMI-0003,PJ-0005,MDL-0026,"{""temperature_c"": 368.2, ""pressure_mbar"": 3.69, ""gas_flow_sccm"": 416.8}",97.35,111,4.955,completed,2026-05-26
SEMI-0004,PJ-0005,MDL-0026,"{""temperature_c"": 353.4, ""pressure_mbar"": 9.91, ""gas_flow_sccm"": 391.0}",84.58,300,3.637,completed,2026-04-19
SEMI-0005,PJ-0005,MDL-0037,"{""temperature_c"": 268.1, ""pressure_mbar"": 2.18, ""gas_flow_sccm"": 388.5}",89.22,57,4.251,completed,2026-06-26
SEMI-0006,PJ-0005,MDL-0021,"{""temperature_c"": 323.1, ""pressure_mbar"": 4.98, ""gas_flow_sccm"": 267.1}",96.98,137,1.099,completed,2026-08-14
SEMI-0007,PJ-0005,MDL-0009,"{""temperature_c"": 258.7, ""pressure_mbar"": 8.71, ""gas_flow_sccm"": 95.9}",94.24,105,1.889,completed,2026-08-21
SEMI-0008,PJ-0005,MDL-0021,"{""temperature_c"": 427.8, ""pressure_mbar"": 1.86, ""gas_flow_sccm"": 488.4}",79.4,56,0.596,completed,2026-05-26
SEMI-0009,PJ-0005,MDL-0037,"{""temperature_c"": 280.1, ""pressure_mbar"": 2.34, ""gas_flow_sccm"": 375.1}",81.0,90,1.212,completed,2026-08-24
SEMI-0010,PJ-0005,MDL-0037,"{""temperature_c"": 436.4, ""pressure_mbar"": 6.88, ""gas_flow_sccm"": 218.9}",91.95,75,3.891,completed,2026-08-14
SEMI-0011,PJ-0005,MDL-0026,"{""temperature_c"": 232.6, ""pressure_mbar"": 6.88, ""gas_flow_sccm"": 215.3}",77.94,72,0.619,completed,2026-07-09
SEMI-0012,PJ-0005,MDL-0021,"{""temperature_c"": 156.9, ""pressure_mbar"": 6.16, ""gas_flow_sccm"": 307.7}",81.71,78,3.974,completed,2026-07-02
SEMI-0013,PJ-0005,MDL-0026,"{""temperature_c"": 239.5, ""pressure_mbar"": 2.13, ""gas_flow_sccm"": 196.4}",92.49,124,2.033,completed,2026-06-09
