image_id,project_id,experiment_id,filename,defect_type,defect_label,model_id,prediction_confidence,radiographic_thickness_mm,inspection_date
WELD-0001,PJ-0003,EXP-0055,weld_xray_0001.png,incomplete_fusion,defective,MDL-0006,0.685,25.8,2026-03-18
WELD-0002,PJ-0003,EXP-0055,weld_xray_0002.png,incomplete_fusion,defective,MDL-0006,0.867,14.0,2026-06-16
WELD-0003,PJ-0003,EXP-0097,weld_xray_0003.png,undercut,defective,MDL-0006,0.733,32.9,2026-03-16
WELD-0004,PJ-0003,EXP-0062,weld_xray_0004.png,crack,defective,MDL-0018,0.824,27.8,2026-05-31
WELD-0005,PJ-0003,EXP-0113,weld_xray_0005.png,slag_inclusion,defective,MDL-0006,0.7,15.8,2026-05-27
WELD-0006,PJ-0003,EXP-0068,weld_xray_0006.png,slag_inclusion,defective,MDL-0006,0.826,28.0,2026-04-07
WELD-0007,PJ-0003,EXP-0057,weld_xray_0007.png,porosity,defective,MDL-0006,0.794,11.8,2026-04-21
WELD-0008,PJ-0003,EXP-0055,weld_xray_0008.png,no_defect,ok,MDL-0006,0.766,28.4,2026-08-25
WELD-0009,PJ-0003,EXP-0097,weld_xray_0009.png,no_defect,ok,MDL-0018,0.94,24.8,2026-05-25
WELD-0010,PJ-0003,EXP-0062,weld_xray_0010.png,incomplete_fusion,defective,MDL-0018,0.762,8.7,2026-03-11
WELD-0011,PJ-0003,EXP-0057,weld_xray_0011.png,undercut,defective,MDL-0006,0.867,29.3,2026-06-28
WELD-0012,PJ-0003,EXP-0055,weld_xray_0012.png,incomplete_fusion,defective,MDL-0006,0.813,31.9,2026-05-24
WELD-0013,PJ-0003,EXP-0080,weld_xray_0013.png,no_defect,ok,MDL-0006,0.786,33.9,2026-03-02
WELD-0014,PJ-0003,EXP-0006,weld_xray_0014.png,slag_inclusion,defective,MDL-0006,0.772,24.4,2026-04-06
WELD-0015,PJ-0003,EXP-0097,weld_xray_0015.png,slag_inclusion,defective,MDL-0006,0.865,36.9,2026-06-01
WELD-0016,PJ-0003,EXP-0006,weld_xray_0016.png,porosity,defective,MDL-0006,0.717,11.1,2026-05-07
WELD-0017,PJ-0003,EXP-0031,weld_xray_0017.png,no_defect,ok,MDL-0018,0.938,13.6,2026-04-20
WELD-0018,PJ-0003,EXP-0031,weld_xray_0018.png,porosity,defective,MDL-0018,0.96,5.7,2026-08-21
WELD-0019,PJ-0003,EXP-0080,weld_xray_0019.png,crack,defective,MDL-0006,0.765,12.4,2026-06-25
WELD-0020,PJ-0003,EXP-0068,weld_xray_0020.png,crack,defective,MDL-0018,0.875,37.9,2026-08-07
WELD-0021,PJ-0003,EXP-0010,weld_xray_0021.png,undercut,defective,MDL-0006,0.699,37.3,2026-04-18
WELD-0022,PJ-0003,EXP-0113,weld_xray_0022.png,crack,defective,MDL-0018,0.886,16.1,2026-06-18
WELD-0023,PJ-0003,EXP-0057,weld_xray_0023.png,no_defect,ok,MDL-0006,0.909,25.6,2026-07-16
WELD-0024,PJ-0003,EXP-0025,weld_xray_0024.png,slag_inclusion,defective,MDL-0018,0.734,27.0,2026-05-11
WELD-0025,PJ-0003,EXP-0100,weld_xray_0025.png,crack,defective,MDL-0018,0.721,7.8,2026-06-29
WELD-0026,PJ-0003,EXP-0010,weld_xray_0026.png,no_defect,ok,MDL-0006,0.823,31.3,2026-08-13
WELD-0027,PJ-0003,EXP-0068,weld_xray_0027.png,incomplete_fusion,defective,MDL-0018,0.826,11.3,2026-08-30
WELD-0028,PJ-0003,EXP-0100,weld_xray_0028.png,slag_inclusion,defective,MDL-0018,0.893,22.3,2026-05-08
WELD-0029,PJ-0003,EXP-0080,weld_xray_0029.png,incomplete_fusion,defective,MDL-0006,0.72,36.3,2026-06-24
WELD-0030,PJ-0003,EXP-0080,weld_xray_0030.png,crack,defective,MDL-0006,0.754,36.1,2026-07-25
WELD-0031,PJ-0003,EXP-0068,weld_xray_0031.png,crack,defective,MDL-0018,0.837,9.7,2026-03-22
WELD-0032,PJ-0003,EXP-0097,weld_xray_0032.png,slag_inclusion,defective,MDL-0018,0.728,6.4,2026-07-10
WELD-0033,PJ-0003,EXP-0067,weld_xray_0033.png,incomplete_fusion,defective,MDL-0018,0.803,20.1,2026-06-03
WELD-0034,PJ-0003,EXP-0067,weld_xray_0034.png,undercut,defective,MDL-0018,0.78,11.3,2026-04-29
WELD-0035,PJ-0003,EXP-0010,weld_xray_0035.png,slag_inclusion,defective,MDL-0018,0.957,15.3,2026-07-07
WELD-0036,PJ-0003,EXP-0113,weld_xray_0036.png,incomplete_fusion,defective,MDL-0006,0.917,37.4,2026-03-26
WELD-0037,PJ-0003,EXP-0010,weld_xray_0037.png,porosity,defective,MDL-0018,0.663,12.0,2026-04-20
WELD-0038,PJ-0003,EXP-0067,weld_xray_0038.png,no_defect,ok,MDL-0018,0.753,33.5,2026-08-22
WELD-0039,PJ-0003,EXP-0055,weld_xray_0039.png,slag_inclusion,defective,MDL-0006,0.989,31.3,2026-07-18
