dataset_id,dataset_code,project_id,owner_person_id,title,data_type,version,sensitivity_level,row_count,file_count,quality_score,storage_path,approval_status
DS-0001,DATA-HYDRAULIC-QU-v01-001,PJ-0002,P-0022,Synthetic Hydraulic quality monitoring Dataset 001,tabular,v02,medium,462326,568,0.93,minio://synthetic-dais/datasets/DS-0001/,approved
DS-0002,DATA-SEMICONDUCTO-v02-002,PJ-0005,P-0023,Synthetic Semiconductor digital twin Dataset 002,tabular,v01,medium,489008,853,0.95,minio://synthetic-dais/datasets/DS-0002/,approved
DS-0003,DATA-SEMICONDUCTO-v01-003,PJ-0005,P-0023,Synthetic Semiconductor digital twin Dataset 003,sensor_time_series,v03,medium,317605,1730,0.86,minio://synthetic-dais/datasets/DS-0003/,approved
DS-0004,DATA-SEMICONDUCTO-v04-004,PJ-0005,,Synthetic Semiconductor digital twin Dataset 004,image,v01,high,435317,2271,0.57,minio://synthetic-dais/datasets/DS-0004/,approved
DS-0005,DATA-WELDING-INSP-v03-005,PJ-0003,,Synthetic Welding inspection AI Dataset 005,simulation,v04,low,59154,621,0.96,minio://synthetic-dais/datasets/DS-0005/,pending_review
DS-0006,DATA-WELDING-INSP-v01-006,PJ-0003,P-0025,Synthetic Welding inspection AI Dataset 006,inspection_log,v02,high,67318,347,0.68,minio://synthetic-dais/datasets/DS-0006/,approved
DS-0007,DATA-PROCESS-MINI-v02-007,PJ-0006,P-0007,Synthetic Process mining Dataset 007,tabular,v04,medium,485866,1944,0.92,minio://synthetic-dais/datasets/DS-0007/,approved
DS-0008,DATA-MACHINE-VISI-v01-008,PJ-0007,,Synthetic Machine vision Dataset 008,tabular,v04,medium,140383,1309,0.89,minio://synthetic-dais/datasets/DS-0008/,approved
DS-0009,DATA-MACHINE-VISI-v01-009,PJ-0007,P-0011,Synthetic Machine vision Dataset 009,sensor_time_series,v04,medium,160507,1869,0.65,minio://synthetic-dais/datasets/DS-0009/,pending_review
DS-0010,DATA-CYBER-PHYSIC-v04-010,PJ-0004,,Synthetic Cyber-physical systems Dataset 010,image,v03,medium,336821,4178,0.72,minio://synthetic-dais/datasets/DS-0010/,pending_review
DS-0011,DATA-PROCESS-MINI-v01-011,PJ-0006,,Synthetic Process mining Dataset 011,tabular,v02,medium,20557,893,0.81,minio://synthetic-dais/datasets/DS-0011/,approved
DS-0012,DATA-PROCESS-MINI-v04-012,PJ-0006,P-0022,Synthetic Process mining Dataset 012,image,v04,medium,134047,368,0.85,minio://synthetic-dais/datasets/DS-0012/,approved
DS-0013,DATA-CYBER-PHYSIC-v03-013,PJ-0004,P-0014,Synthetic Cyber-physical systems Dataset 013,inspection_log,v03,low,377858,2465,0.77,minio://synthetic-dais/datasets/DS-0013/,pending_review
DS-0014,DATA-MACHINE-VISI-v03-014,PJ-0007,P-0013,Synthetic Machine vision Dataset 014,inspection_log,v02,medium,220934,3110,0.84,minio://synthetic-dais/datasets/DS-0014/,approved
DS-0015,DATA-SEMICONDUCTO-v04-015,PJ-0005,P-0004,Synthetic Semiconductor digital twin Dataset 015,tabular,v03,medium,225885,4756,0.81,minio://synthetic-dais/datasets/DS-0015/,approved
DS-0016,DATA-SYSTEM-ANOMA-v04-016,PJ-0008,P-0010,Synthetic System anomaly detection Dataset 016,inspection_log,v04,medium,345927,699,0.67,minio://synthetic-dais/datasets/DS-0016/,pending_review
DS-0017,DATA-PROCESS-MINI-v01-017,PJ-0006,P-0011,Synthetic Process mining Dataset 017,tabular,v02,medium,77755,205,0.57,minio://synthetic-dais/datasets/DS-0017/,approved
DS-0018,DATA-HYDRAULIC-QU-v04-018,PJ-0002,P-0025,Synthetic Hydraulic quality monitoring Dataset 018,sensor_time_series,v04,high,210033,2003,0.61,minio://synthetic-dais/datasets/DS-0018/,pending_review
DS-0019,DATA-BESS-SAFETY--v01-019,PJ-0001,P-0011,Synthetic BESS safety AI Dataset 019,sensor_time_series,v04,low,292741,2046,0.94,minio://synthetic-dais/datasets/DS-0019/,approved
DS-0020,DATA-SYSTEM-ANOMA-v02-020,PJ-0008,P-0022,Synthetic System anomaly detection Dataset 020,inspection_log,v03,high,321706,4140,0.73,minio://synthetic-dais/datasets/DS-0020/,pending_review
