experiment_id,experiment_code,project_id,dataset_id,model_id,equipment_id,researcher_person_id,status,started_at,completed_at,failed_at,failure_reason,result_json,reproducibility_score
EXP-0001,EXP-2026-0001,PJ-0005,DS-0002,MDL-0001,EQ-0010,P-0015,running,2026-08-16T21:51:14,,,,,0.45
EXP-0002,EXP-2026-0002,PJ-0003,DS-0041,MDL-0035,EQ-0005,P-0006,completed,2026-05-07T18:35:30,2026-05-09T20:35:30,,,"{""loss"": 0.1947, ""accuracy"": 0.799}",0.85
EXP-0003,EXP-2026-0003,PJ-0006,DS-0028,MDL-0022,EQ-0019,P-0006,pending,,,,,,0.92
EXP-0004,EXP-2026-0004,PJ-0003,DS-0042,MDL-0003,EQ-0003,P-0019,running,2026-06-29T07:20:51,,,,,0.8
EXP-0005,EXP-2026-0005,PJ-0008,DS-0021,MDL-0018,EQ-0017,P-0015,completed,2026-04-25T00:01:27,2026-04-28T16:01:27,,,"{""loss"": 0.3085, ""accuracy"": 0.841}",0.68
EXP-0006,EXP-2026-0006,PJ-0005,DS-0002,MDL-0001,EQ-0020,P-0004,completed,2026-04-11T00:25:18,2026-04-15T04:25:18,,,"{""loss"": 0.0704, ""accuracy"": 0.774}",0.56
EXP-0007,EXP-2026-0007,PJ-0006,DS-0007,MDL-0004,EQ-0014,P-0008,completed,2026-07-30T15:20:44,2026-07-31T22:20:44,,,"{""loss"": 0.2301, ""accuracy"": 0.942}",0.65
EXP-0008,EXP-2026-0008,PJ-0006,DS-0007,MDL-0004,EQ-0002,P-0004,failed,2026-03-31T02:51:57,,2026-03-31T23:51:57,Equipment disconnected mid-run,,0.69
EXP-0009,EXP-2026-0009,PJ-0007,DS-0014,MDL-0028,EQ-0014,P-0007,running,2026-05-03T01:31:45,,,,,0.66
EXP-0010,EXP-2026-0010,PJ-0003,DS-0041,MDL-0035,EQ-0012,P-0017,completed,2026-05-13T05:56:13,2026-05-15T14:56:13,,,"{""loss"": 0.2691, ""accuracy"": 0.852}",0.9
EXP-0011,EXP-2026-0011,PJ-0007,DS-0026,MDL-0011,EQ-0011,P-0006,completed,2026-03-23T03:24:09,2026-03-26T00:24:09,,,"{""loss"": 0.2344, ""accuracy"": 0.963}",0.72
EXP-0012,EXP-2026-0012,PJ-0006,DS-0028,MDL-0022,EQ-0005,P-0007,completed,2026-04-23T07:21:11,2026-04-24T07:21:11,,,"{""loss"": 0.2751, ""accuracy"": 0.92}",0.53
EXP-0013,EXP-2026-0013,PJ-0002,DS-0037,MDL-0013,EQ-0015,P-0025,pending,,,,,,0.69
EXP-0014,EXP-2026-0014,PJ-0006,DS-0028,MDL-0022,EQ-0016,P-0013,failed,2026-07-08T20:12:57,,2026-07-09T00:12:57,Numerical instability — loss became NaN at epoch 12,,0.87
EXP-0015,EXP-2026-0015,PJ-0002,DS-0038,MDL-0024,EQ-0002,P-0013,running,2026-04-08T12:48:43,,,,,0.49
EXP-0016,EXP-2026-0016,PJ-0007,DS-0033,MDL-0016,EQ-0002,P-0025,failed,2026-05-02T10:25:23,,2026-05-04T01:25:23,Experiment cancelled by researcher,,0.8
EXP-0017,EXP-2026-0017,PJ-0003,DS-0042,MDL-0003,EQ-0011,P-0022,completed,2026-04-03T14:24:55,2026-04-04T23:24:55,,,"{""loss"": 0.3214, ""accuracy"": 0.987}",0.79
EXP-0018,EXP-2026-0018,PJ-0003,DS-0005,MDL-0031,EQ-0013,P-0014,failed,2026-04-06T04:02:27,,2026-04-07T21:02:27,Numerical instability — loss became NaN at epoch 12,,0.81
EXP-0019,EXP-2026-0019,PJ-0002,DS-0046,MDL-0033,EQ-0013,P-0012,running,2026-07-27T11:48:37,,,,,0.83
EXP-0020,EXP-2026-0020,PJ-0003,DS-0005,MDL-0031,EQ-0005,P-0013,running,2026-08-09T15:09:09,,,,,0.96
EXP-0021,EXP-2026-0021,PJ-0007,DS-0026,MDL-0010,EQ-0003,P-0023,running,2026-08-01T17:24:43,,,,,0.65
EXP-0022,EXP-2026-0022,PJ-0006,DS-0025,MDL-0005,EQ-0017,P-0017,completed,2026-03-19T12:57:37,2026-03-21T12:57:37,,,"{""loss"": 0.1459, ""accuracy"": 0.976}",0.72
EXP-0023,EXP-2026-0023,PJ-0006,DS-0007,MDL-0029,EQ-0005,P-0006,completed,2026-08-16T00:54:22,2026-08-16T14:54:22,,,"{""loss"": 0.2334, ""accuracy"": 0.857}",0.61
EXP-0024,EXP-2026-0024,PJ-0001,DS-0027,MDL-0030,EQ-0020,P-0016,completed,2026-04-05T02:48:11,2026-04-09T14:48:11,,,"{""loss"": 0.3149, ""accuracy"": 0.881}",0.53
EXP-0025,EXP-2026-0025,PJ-0003,DS-0041,MDL-0035,EQ-0012,P-0019,completed,2026-08-20T02:23:49,2026-08-24T03:23:49,,,"{""loss"": 0.3549, ""accuracy"": 0.768}",0.77
EXP-0026,EXP-2026-0026,PJ-0004,DS-0045,MDL-0019,EQ-0007,P-0025,running,2026-05-29T15:35:04,,,,,0.97
EXP-0027,EXP-2026-0027,PJ-0005,DS-0015,MDL-0026,EQ-0006,P-0008,completed,2026-03-11T03:10:31,2026-03-14T15:10:31,,,"{""loss"": 0.2215, ""accuracy"": 0.808}",0.91
EXP-0028,EXP-2026-0028,PJ-0002,DS-0037,MDL-0040,EQ-0006,P-0019,running,2026-04-19T14:41:40,,,,,0.93
EXP-0029,EXP-2026-0029,PJ-0007,DS-0009,MDL-0008,EQ-0012,P-0017,completed,2026-06-06T11:31:21,2026-06-08T12:31:21,,,"{""loss"": 0.1137, ""accuracy"": 0.988}",0.48
EXP-0030,EXP-2026-0030,PJ-0006,DS-0025,MDL-0005,EQ-0004,P-0008,running,2026-05-10T16:57:17,,,,,0.52
EXP-0031,EXP-2026-0031,PJ-0008,DS-0036,MDL-0034,EQ-0016,P-0004,failed,2026-03-04T16:33:52,,2026-03-05T09:33:52,Dataset loader timeout after 3 retries,,0.93
EXP-0032,EXP-2026-0032,PJ-0003,DS-0041,MDL-0035,EQ-0014,P-0013,completed,2026-04-19T15:51:16,2026-04-19T23:51:16,,,"{""loss"": 0.1149, ""accuracy"": 0.885}",0.58
EXP-0033,EXP-2026-0033,PJ-0008,DS-0021,MDL-0002,EQ-0016,P-0023,pending,,,,,,0.46
EXP-0034,EXP-2026-0034,PJ-0004,DS-0045,MDL-0025,EQ-0001,P-0015,pending,,,,,,0.58
EXP-0035,EXP-2026-0035,PJ-0007,DS-0026,MDL-0010,EQ-0017,P-0006,running,2026-06-14T15:36:20,,,,,0.96
EXP-0036,EXP-2026-0036,PJ-0001,DS-0029,MDL-0020,EQ-0013,P-0012,running,2026-05-09T08:10:41,,,,,0.85
