milestone_id,project_id,milestone_name,due_date,status,risk_score
MS-0001,PJ-0005,Interim report,2026-12-17,delayed,0.69
MS-0002,PJ-0003,Interim report,2026-09-17,completed,0.59
MS-0003,PJ-0005,Prototype demo,2027-04-20,completed,0.12
MS-0004,PJ-0006,Final report,2026-10-21,in_progress,0.52
MS-0005,PJ-0003,Prototype demo,2027-04-05,delayed,0.13
MS-0006,PJ-0004,Dataset release,2026-12-17,completed,0.37
MS-0007,PJ-0004,Final report,2027-03-29,delayed,0.95
MS-0008,PJ-0001,Interim report,2026-12-25,delayed,0.27
MS-0009,PJ-0004,Interim report,2026-12-12,delayed,0.87
MS-0010,PJ-0002,Prototype demo,2026-11-09,completed,0.07
MS-0011,PJ-0006,Final report,2027-03-18,delayed,0.49
MS-0012,PJ-0005,Paper submission,2026-10-07,completed,0.51
MS-0013,PJ-0002,Dataset release,2027-04-02,not_started,0.61
MS-0014,PJ-0004,Paper submission,2027-05-19,in_progress,0.83
MS-0015,PJ-0007,Interim report,2026-10-14,delayed,0.63
MS-0016,PJ-0002,Paper submission,2026-09-17,not_started,0.46
MS-0017,PJ-0006,Interim report,2026-08-14,not_started,0.1
MS-0018,PJ-0005,Final report,2026-08-06,in_progress,0.87
MS-0019,PJ-0007,Prototype demo,2027-02-16,delayed,0.44
MS-0020,PJ-0001,Prototype demo,2026-08-30,not_started,0.63
MS-0021,PJ-0002,Paper submission,2027-04-26,not_started,0.68
MS-0022,PJ-0002,Model evaluation,2027-03-15,not_started,0.31
MS-0023,PJ-0005,Final report,2026-08-14,completed,0.74
MS-0024,PJ-0008,Prototype demo,2027-01-19,not_started,0.48
MS-0025,PJ-0004,Dataset release,2027-01-17,completed,0.91
MS-0026,PJ-0003,Model evaluation,2027-05-28,completed,0.91
MS-0027,PJ-0001,Final report,2027-04-11,in_progress,0.16
MS-0028,PJ-0001,Final report,2027-05-02,delayed,0.53
MS-0029,PJ-0002,Model evaluation,2026-10-16,completed,0.24
MS-0030,PJ-0003,Dataset release,2026-10-03,in_progress,0.61
MS-0031,PJ-0005,Dataset release,2026-08-28,in_progress,0.65
MS-0032,PJ-0001,Final report,2027-02-22,not_started,0.31
MS-0033,PJ-0002,Model evaluation,2026-08-20,in_progress,0.7
MS-0034,PJ-0008,Model evaluation,2026-12-30,in_progress,0.65
MS-0035,PJ-0004,Interim report,2026-11-23,not_started,0.86
MS-0036,PJ-0006,Prototype demo,2027-02-16,completed,0.6
MS-0037,PJ-0005,Paper submission,2027-04-26,in_progress,0.56
MS-0038,PJ-0006,Model evaluation,2027-02-05,in_progress,0.05
MS-0039,PJ-0004,Dataset release,2027-05-25,delayed,0.3
MS-0040,PJ-0006,Dataset release,2026-12-17,delayed,0.47
