model_id,model_code,project_id,dataset_id,dataset_version,name,model_type,version,dataset_version_status,accuracy,f1_score,false_alarm_rate,deployment_status,code_commit,artifact_path,hyperparameters
MDL-0001,MODEL-SEMICONDUC-001,PJ-0005,DS-0002,v01,Synthetic Semiconductor digital twin Model 001,CNN,v04,current,0.942,0.84,0.172,pilot,6b835321dff1,minio://synthetic-dais/models/MDL-0001/,"{""lr"": 0.0058, ""epochs"": 32, ""batch_size"": 32}"
MDL-0002,MODEL-SYSTEM-ANO-002,PJ-0008,DS-0021,v03,Synthetic System anomaly detection Model 002,LSTM,v10,current,0.936,0.97,0.09,archived,fc981932e7b5,minio://synthetic-dais/models/MDL-0002/,"{""lr"": 0.0034, ""epochs"": 95, ""batch_size"": 16}"
MDL-0003,MODEL-WELDING-IN-003,PJ-0003,DS-0042,v03,Synthetic Welding inspection AI Model 003,XGBoost,v12,current,0.892,0.782,0.139,research,d106bec3de6b,minio://synthetic-dais/models/MDL-0003/,"{""lr"": 0.0046, ""epochs"": 50, ""batch_size"": 32}"
MDL-0004,MODEL-PROCESS-MI-004,PJ-0006,DS-0007,v04,Synthetic Process mining Model 004,DigitalTwinSimulator,v07,current,0.939,0.65,0.158,archived,08705c4419c4,minio://synthetic-dais/models/MDL-0004/,"{""lr"": 0.00419, ""epochs"": 34, ""batch_size"": 64}"
MDL-0005,MODEL-PROCESS-MI-005,PJ-0006,DS-0025,v02,Synthetic Process mining Model 005,DigitalTwinSimulator,v08,current,0.92,0.717,0.103,pilot,c5ede284d18f,minio://synthetic-dais/models/MDL-0005/,"{""lr"": 0.00444, ""epochs"": 99, ""batch_size"": 32}"
MDL-0006,MODEL-HYDRAULIC--006,PJ-0002,DS-0001,v02,Synthetic Hydraulic quality monitoring Model 006,RandomForest,v10,current,0.906,0.753,0.012,archived,6312a5126f87,minio://synthetic-dais/models/MDL-0006/,"{""lr"": 0.00102, ""epochs"": 24, ""batch_size"": 32}"
MDL-0007,MODEL-HYDRAULIC--007,PJ-0002,DS-0023,v02,Synthetic Hydraulic quality monitoring Model 007,XGBoost,v12,outdated,0.905,0.787,0.092,archived,c79b8df7cf67,minio://synthetic-dais/models/MDL-0007/,"{""lr"": 0.00251, ""epochs"": 80, ""batch_size"": 16}"
MDL-0008,MODEL-MACHINE-VI-008,PJ-0007,DS-0009,v04,Synthetic Machine vision Model 008,NormalizingFlow,v09,current,0.74,0.673,0.141,archived,31bbb13cbe3f,minio://synthetic-dais/models/MDL-0008/,"{""lr"": 0.00346, ""epochs"": 74, ""batch_size"": 32}"
MDL-0009,MODEL-BESS-SAFET-009,PJ-0001,DS-0027,v02,Synthetic BESS safety AI Model 009,RandomForest,v05,current,0.868,0.868,0.157,archived,7ed0de7c3e13,minio://synthetic-dais/models/MDL-0009/,"{""lr"": 0.00543, ""epochs"": 54, ""batch_size"": 32}"
MDL-0010,MODEL-MACHINE-VI-010,PJ-0007,DS-0026,v04,Synthetic Machine vision Model 010,Transformer,v04,current,0.769,0.776,0.156,archived,a4f8d535d1a3,minio://synthetic-dais/models/MDL-0010/,"{""lr"": 0.00053, ""epochs"": 70, ""batch_size"": 64}"
